PUID,description,tag,norma_sugerida,rationale,verification,priority
SIR-001,El sistema debe implementar control de acceso basado en roles (RBAC) para restringir el acceso a la ePHI según el perfil del usuario.,covered,"NIST SP 800-53 Rev.5 AC-3, ISO 27002:2022 5.15, HIPAA 45 CFR §164.312(a)(1)",Minimiza el riesgo de acceso no autorizado a información sensible. Es fundamental para proteger la confidencialidad de los datos de salud.,Inspección del sistema de gestión de identidades y roles + prueba funcional de acceso.,H
SIR-002,El sistema debe autenticar a los usuarios mediante credenciales fuertes con doble factor (2FA).,covered,"NIST SP 800-53 Rev.5 IA-2(1), ISO 27002:2022 5.17, DISA STIG V-222390","Previene el acceso fraudulento por robo o suplantación de credenciales, especialmente en entornos expuestos (teletrabajo, móviles).",Revisión de política de autenticación y pruebas de acceso con 2FA.,H
SIR-003,Las sesiones de usuario deben cerrarse automáticamente tras 15 minutos de inactividad.,covered,"HIPAA 45 CFR §164.312(b), DISA STIG V-222389, NIST AC-12",Reduce el riesgo de secuestro de sesión cuando un usuario deja una sesión activa sin supervisión.,Configuración del sistema + pruebas de expiración de sesión.,M
SIR-004,Toda la información ePHI transmitida fuera del entorno seguro debe estar cifrada mediante TLS 1.2 o superior.,covered,"HIPAA 45 CFR §164.312(e)(1), ISO 27799:2016 10.1, NIST SC-12, DISA STIG V-222396",Protege la confidencialidad e integridad de la ePHI durante su transmisión en redes no confiables.,"Análisis de red, escaneo de configuración SSL/TLS.",H
SIR-005,La base de datos debe cifrar la ePHI en reposo usando AES-256.,covered,"NIST SC-28, ISO 27002:2022 10.1, HIPAA 45 CFR §164.312(a)(2)(iv)",Protege la confidencialidad de los datos en caso de acceso físico o lógico a los servidores.,Revisión técnica del sistema de almacenamiento y configuración de cifrado.,H
SIR-006,"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.",covered,"NIST AU-2, ISO 27002:2022 5.25, HIPAA 45 CFR §164.312(b)",Permite detectar accesos no autorizados o anómalos a información crítica.,"Revisión de archivos de log, pruebas de auditoría.",H
SIR-007,Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.,covered,"HIPAA §164.316(b), NIST AU-11, ISO 27002:2022 5.27",Garantiza evidencia de cumplimiento y soporte en auditorías.,Configuración de retención y control de integridad de logs.,H
SIR-008,El sistema debe validar de forma estricta todos los datos introducidos por usuarios para evitar inyecciones SQL o de comandos.,covered,"OWASP A03:2021, CWE-89, CWE-77, NIST SI-10",Previene ataques que podrían comprometer la integridad del sistema y exfiltrar información sensible.,"Revisión de código, pruebas de penetración y fuzzing.",H
SIR-009,El sistema debe contar con un plan documentado y probado de continuidad de negocio para asegurar la disponibilidad de la ePHI.,covered,"ISO 27002:2022 5.30, NIST CP-2, HIPAA 45 CFR §164.308(a)(7)(i)","Garantiza la disponibilidad de la ePHI ante desastres naturales, fallos tecnológicos o ataques.",Revisión del plan de continuidad y pruebas de simulación.,H
SIR-010,El sistema debe realizar copias de seguridad automáticas y regulares de todos los datos que incluyan ePHI.,covered,"HIPAA 45 CFR §164.308(a)(7)(ii)(A), NIST CP-9, ISO 27002:2022 5.33",Asegura la restauración de la ePHI ante fallos o incidentes.,Auditoría de políticas de backup y verificación de registros.,H
SIR-011,Deben implementarse mecanismos de alta disponibilidad y redundancia para servicios críticos del sistema EHR.,covered,"NIST SC-6, ISO 27002:2022 5.30, OWASP A08:2021",Minimiza el impacto de fallas en servicios críticos.,Inspección de arquitectura y simulación de fallos.,H
SIR-012,Debe monitorizarse en tiempo real la disponibilidad de los componentes y generar alertas ante fallos o degradación.,covered,"NIST IR-5, ISO 27002:2022 5.22, HIPAA §164.308(a)(6)",Permite la detección temprana de incidentes para reducir tiempos de recuperación.,Verificación de integración de herramientas de monitoreo.,H
SIR-013,El plan de continuidad debe incluir escenarios específicos de ciberataques como ransomware o denegación de servicio.,covered,"NIST CP-2, DISA STIG, ISO 27002:2022 5.24",Asegura que el plan de continuidad aborde amenazas cibernéticas.,Análisis de escenarios y simulacros de recuperación.,M
SIR-014,Se deben definir y probar procedimientos de operación manual temporal para continuidad mínima del servicio.,covered,"ISO 27002:2022 5.29, NIST CP-10, Canada Health Infoway Req. 31",Permite continuar con atención básica en caso de caída total del sistema digital.,Revisión documental y pruebas piloto offline.,M
SIR-015,El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.,covered,"ISO 27799:2016 8.1.3, HIPAA §164.508, Canada Health Infoway Req. 4",Esencial para respetar los derechos del titular de los datos y cumplir regulaciones.,Verificación de pantallas/formularios y registro en base de datos.,H
SIR-016,"El sistema debe permitir que el paciente revoque su consentimiento previamente otorgado, reflejando el cambio en tiempo real.",covered,"HIPAA §164.522(b), ISO 27799:2016 8.1.4",Respetar la autonomía del paciente y permitir modificar decisiones previas.,Verificación de la interfaz de revocación y revisión de logs.,H
SIR-017,"El sistema debe aplicar principios de minimización de datos, recolectando y procesando solo la ePHI estrictamente necesaria.",covered,"ISO 27799:2016 7.1.3, NIST AP-1, Canada Health Infoway Req. 8",Reduce el riesgo de exposición innecesaria y fortalece la privacidad desde el diseño.,Análisis de procesos y formularios.,H
SIR-018,"Debe implementarse trazabilidad detallada sobre qué usuarios acceden, consultan o modifican ePHI por paciente.",covered,"HIPAA §164.312(b), ISO 27002:2022 5.26, NIST AU-3",Permite llevar auditorías efectivas y controlar el acceso a datos sensibles.,Revisión de logs segmentados por paciente.,H
SIR-019,El sistema debe permitir que el paciente acceda y revise su propia ePHI de forma segura.,covered,"HIPAA §164.524, ISO 27799:2016 8.2.1, Canada Health Infoway Req. 5",Fomenta la transparencia y el control por parte del paciente sobre sus datos.,Pruebas funcionales del portal del paciente.,M
SIR-020,El sistema debe permitir que el paciente solicite la rectificación de su ePHI cuando identifique errores.,covered,"HIPAA §164.526, ISO 27799:2016 8.2.2, NIST AP-2",Garantiza la precisión de la información de salud.,Validación del flujo de solicitud y auditoría de cambios.,M
SIR-021,El sistema debe anonimizar o seudonimizar los datos antes de su uso para fines secundarios.,covered,"ISO 27799:2016 9.3, NIST PM-19, Canada Health Infoway Req. 11",Protege la identidad del paciente en usos no asistenciales.,Hashing de identificadores y control de accesos.,H
SIR-022,"El sistema debe aplicar políticas de retención mínima de ePHI conforme a requisitos legales y clínicos, eliminando datos innecesarios.",covered,"HIPAA §164.316(b), ISO 27799:2016 9.1, NIST DM-2",Disminuye el riesgo y controla el ciclo de vida de la ePHI.,Revisión de políticas y ejecuciones automatizadas.,M
SIR-023,Los datos ePHI no deben transferirse a jurisdicciones fuera del país sin evaluaciones de riesgo y cumplimiento.,covered,"ISO 27799:2016 9.2, NIST PM-5, Canada Health Infoway Req. 14",Protege los derechos de los pacientes frente a legislaciones menos estrictas.,Evaluación contractual y de ubicación de servidores.,H
SIR-024,El sistema debe proteger los metadatos asociados a ePHI para evitar inferencias indebidas.,covered,"ISO 27799:2016 7.5.2, NIST AC-16, OWASP Top 10 Privacy Risks (P4)",Una metadata inadecuada puede revelar información sensible indirecta.,Análisis de registros y eliminación de información sensible en los metadatos.,M
SIR-025,"El sistema debe diferenciar claramente el acceso a datos identificables, seudonimizados y anonimizados mediante control de roles.",covered,"ISO 27799:2016 8.1.6, NIST AC-16, Canada Health Infoway Req. 12",Establece barreras para minimizar el riesgo de reidentificación indebida.,Validación de matrices de permisos y simulación de accesos cruzados.,H
SIR-026,"El sistema debe permitir establecer políticas de acceso diferencial en función del contexto de uso (atención, auditoría, investigación).",covered,"ISO 27799:2016 8.1.5, NIST AC-3(3), Canada Health Infoway Req. 7",Reduce el riesgo de acceso indebido según el contexto de uso.,Verificación de configuraciones de acceso y análisis de logs.,H
SIR-027,El sistema debe notificar al paciente cuando su ePHI sea accedida para usos no asistenciales o por terceros.,covered,"HIPAA §164.528, ISO 27799:2016 8.2.3, Canada Health Infoway Req. 6",Aumenta la transparencia y confianza al informar al paciente.,Verificación de logs y pruebas de notificación.,M
SIR-028,El sistema debe aplicar validación estricta de entradas tanto del lado cliente como del servidor para prevenir inyecciones y corrupción de datos.,covered,"OWASP A03:2021, CWE-20, CWE-89, DISA STIG V-222401, ISO 27002:2022 5.23",Previene ataques que puedan comprometer la integridad del sistema.,Revisión de código y pruebas de fuzzing.,H
SIR-029,"El sistema debe evitar el uso de credenciales hardcoded, usando mecanismos seguros para la gestión de secretos.",covered,"CWE-798, NIST SC-12, DISA STIG V-222440, ISO 27002:2022 8.2.4",Previene la exposición accidental de credenciales que comprometan la infraestructura.,Análisis de repositorios y uso de herramientas de escaneo.,H
SIR-030,Todo código fuente debe ser revisado por al menos un segundo desarrollador antes de entrar a producción.,covered,"NIST SA-11, ISO 27002:2022 5.8, DISA STIG V-222433",Detecta errores y vulnerabilidades que puedan pasar desapercibidos.,Revisión de pull requests y trazabilidad en CI/CD.,M
SIR-031,Las dependencias y componentes de terceros deben ser analizados contra vulnerabilidades conocidas (SBOM).,covered,"OWASP A06:2021, NIST SI-7, ISO 27002:2022 5.23, DISA STIG V-222437",Previene explotaciones mediante componentes vulnerables.,Uso de escáneres de composición de software y alertas de CVE.,H
SIR-032,El sistema debe aplicar parches de seguridad de manera periódica y automatizada.,covered,"NIST SI-2, DISA STIG V-222441, ISO 27002:2022 5.28",La aplicación oportuna de parches minimiza la exposición a vulnerabilidades conocidas.,Revisión de políticas de parches y registros de despliegue.,H
SIR-033,Se debe implementar control de versiones y gestión de cambios en todos los activos de software.,covered,"ISO 27002:2022 5.8, NIST CM-3, DISA STIG V-222430",Facilita la trazabilidad de cambios y auditoría.,Auditoría del sistema de control de versiones y gestión de ramas.,M
SIR-034,El sistema debe incluir un proceso formal de gestión y respuesta a incidentes de seguridad.,covered,"ISO 27002:2022 5.25, NIST IR-4, HIPAA §164.308(a)(6)",Permite una respuesta rápida y coordinada ante incidentes para minimizar el impacto.,Documentación de procedimientos y simulacros de respuesta.,H
SIR-035,Se deben definir métricas y criterios de severidad para clasificar los incidentes de seguridad.,covered,"NIST IR-4, ISO 27002:2022 5.25.3",Facilita la priorización y respuesta a incidentes mediante clasificación estandarizada.,Verificación de la taxonomía y simulación de escalamiento.,M
SIR-036,"El sistema debe notificar al oficial de privacidad y seguridad, así como a los usuarios afectados, cuando ocurra una violación de ePHI.",covered,"HIPAA §164.404, ISO 27799:2016 8.3, NIST IR-6",Garantiza el cumplimiento legal y la transparencia en la gestión de brechas.,Verificación de notificaciones y revisión de logs de incidentes.,H
SIR-037,"Todos los incidentes deben documentarse en un registro centralizado con fecha, tipo, impacto, medidas y seguimiento.",covered,"ISO 27002:2022 5.25.4, NIST IR-5, HIPAA §164.308(a)(6)(ii)",La documentación detallada permite análisis forense y mejora continua.,Revisión de la documentación y simulación de incidentes.,M
SIR-038,"El personal debe recibir formación periódica en detección, reporte y actuación ante incidentes de seguridad.",covered,"NIST AT-2, ISO 27002:2022 6.3, HIPAA §164.308(a)(5)",La capacitación mejora la detección temprana de amenazas.,Registro de asistencias y evaluaciones formativas.,M
SIR-039,Todo acceso a OpenEMR debe estar sujeto a autenticación mediante credenciales únicas e intransferibles por usuario.,covered,"ISO 27002:2022 5.17, NIST IA-2, HIPAA §164.312(d)","Previene el acceso compartido o no autorizado, garantizando trazabilidad.",Revisión de políticas de autenticación y pruebas de acceso.,H
SIR-040,El sistema debe forzar el cambio periódico de credenciales según política definida (mínimo cada 90 días).,covered,"NIST IA-5(1), ISO 27002:2022 5.17.3, DISA STIG V-222402",Minimiza riesgos asociados a credenciales antiguas.,Revisión de políticas y registros de cambio.,M
SIR-041,"Toda cuenta de usuario debe estar sujeta a un proceso de alta, baja y modificación controlado (ciclo de vida IAM).",covered,"ISO 27002:2022 5.18, NIST AC-2, HIPAA §164.308(a)(3)",Asegura que solo usuarios autorizados tengan acceso y sean desactivados cuando ya no lo requieren.,Auditoría de procesos de provisión y revocación.,H
SIR-042,Se deben registrar intentos de acceso fallidos y generar alertas ante patrones sospechosos (ej. 5 intentos).,covered,"NIST AC-7, ISO 27002:2022 5.17.6, OWASP A07:2021",Permite detectar ataques de fuerza bruta y accesos indebidos.,Simulación de fallos y revisión de logs.,H
SIR-043,"El sistema debe soportar federación de identidad para facilitar el acceso seguro de usuarios externos (SSO, SAML, OIDC).",covered,"ISO 27002:2022 5.17.4, NIST IA-8, Canada Health Infoway Req. 20",Facilita la integración segura con sistemas externos.,Pruebas de integración con proveedor federado.,M
SIR-044,"El sistema debe deshabilitar o eliminar todos los servicios, puertos y protocolos no utilizados en los servidores.",covered,"DISA STIG APP3510, ISO 27002:2022 5.23, NIST CM-7",Reduce la superficie de ataque.,Escaneo de puertos y revisión de configuraciones.,H
SIR-045,Todos los sistemas deben aplicar políticas seguras de contraseñas a nivel de sistema operativo.,covered,"DISA STIG APP3520, ISO 27002:2022 5.17, NIST IA-5",Aumenta la robustez de las credenciales y protege el acceso.,Revisión de configuraciones PAM/Linux y políticas de grupos en Windows.,H
SIR-046,"El sistema debe mantener un benchmark de configuración segura basado en STIG, CIS o similar, revisado periódicamente.",covered,"DISA STIG APP3500, ISO 27002:2022 5.23, NIST CM-6",Define una línea base para configuraciones seguras en entornos heterogéneos.,Revisión periódica y documentación interna de benchmarks.,M
SIR-047,"Las configuraciones de aplicaciones web deben evitar listados de directorios y acceso a archivos ocultos, y mostrar mensajes de error genéricos.",covered,"OWASP A05:2021, DISA STIG APP3525, CWE-200",Evita la exposición de información técnica y estructura interna.,Pruebas de escaneo web y análisis de configuración del servidor.,H
SIR-048,Toda configuración de sistema debe estar sujeta a control de cambios formal con aprobación y trazabilidad.,covered,"NIST CM-3, ISO 27002:2022 5.8, DISA STIG APP3505",Previene modificaciones no autorizadas y permite auditoría.,Revisión de registros y control de cambios.,H
SIR-049,El acceso a OpenEMR desde dispositivos móviles debe estar restringido a través de mecanismos como MDM o listas de dispositivos autorizados.,covered,"NIST AC-19, ISO 27002:2022 5.24, Canada Health Infoway Req. 19",Reduce el riesgo en dispositivos no gestionados o comprometidos.,Verificación de soluciones MDM y revisión de políticas de acceso.,H
SIR-050,El sistema debe exigir cifrado en disco completo en dispositivos móviles que accedan a ePHI.,covered,"HIPAA §164.312(a)(2)(iv), NIST MP-6, ISO 27002:2022 8.11",Protege datos locales en caso de pérdida o robo del dispositivo.,Verificación de configuraciones de cifrado en dispositivos gestionados por MDM.,H
SIR-051,Los dispositivos móviles deben tener políticas de bloqueo automático tras un período de inactividad definido.,covered,"NIST AC-11, ISO 27002:2022 8.1.6, DISA STIG V-222389",Evita accesos no autorizados cuando el dispositivo queda sin supervisión.,Revisión de políticas de bloqueo en MDM o mediante directivas del sistema.,M
SIR-052,Se debe permitir el borrado remoto de datos ePHI en dispositivos móviles extraviados o comprometidos.,covered,"ISO 27002:2022 8.13, NIST MP-6, Canada Health Infoway Req. 18",Previene la exposición de ePHI ante pérdida o robo del dispositivo.,Pruebas de borrado remoto y revisión de logs de eliminación.,H
SIR-053,El acceso a ePHI desde navegadores en dispositivos móviles debe requerir canales seguros (HTTPS) y expiración reforzada de sesión.,covered,"OWASP M2, HIPAA §164.312(e)(1), ISO 27002:2022 8.10",Mitiga riesgo de interceptación o secuestro de sesión en móviles.,Análisis de configuración TLS y políticas de expiración de sesión.,H
SIR-054,El sistema debe centralizar los registros de eventos de seguridad y actividad de usuarios en una solución SIEM que permita su análisis y correlación.,covered,"NIST AU-6, ISO 27002:2022 5.26, HIPAA §164.312(b), DISA STIG APP3550",Facilita la detección de amenazas y evidencia forense.,Inspección de integración con SIEM y revisión de dashboards.,H
SIR-055,Los registros deben conservarse de forma segura y protegida contra alteraciones durante al menos 6 años.,covered,"HIPAA §164.316(b)(2)(i), NIST AU-11, ISO 27002:2022 5.27",Proporciona trazabilidad legal y soporte en auditorías.,Verificación de almacenamiento inmutable y control de integridad.,H
SIR-056,El sistema debe permitir la generación automatizada de reportes de auditoría para revisiones periódicas.,covered,"ISO 27002:2022 5.26.3, NIST AU-6(3), Canada Health Infoway Req. 26",Facilita el cumplimiento interno y externo.,Pruebas de generación de reportes y verificación de envíos.,M
SIR-057,Se deben definir y aplicar reglas de correlación en el SIEM para detectar patrones anómalos o indicios de ataque.,covered,"NIST AU-6(1), DISA STIG APP3555, ISO 27002:2022 5.22",Mejora la detección temprana y reduce el tiempo de respuesta ante incidentes.,Revisión de reglas implementadas y simulación de eventos anómalos.,H
SIR-058,El sistema debe permitir la visualización en tiempo real de indicadores de seguridad clave (KPI) mediante tableros.,covered,"NIST IR-5, ISO 27002:2022 5.22, Canada Health Infoway Req. 27",Permite supervisar en tiempo real la seguridad operativa.,Verificación de dashboards y pruebas con herramientas de monitoreo.,M
SIR-059,El sistema debe contar con arquitectura redundante y balanceo de carga para asegurar la continuidad del servicio ante fallos en componentes individuales.,covered,"ISO 27002:2022 5.30, NIST SP 800-53 Rev.5 SC-6, Canada Health Infoway Req. 29","Permite mantener la disponibilidad de los servicios críticos de OpenEMR ante interrupciones, actualizaciones o fallos inesperados.","Pruebas de failover, revisión de configuración de balanceadores de carga y nodos redundantes.",H
SIR-060,Los componentes críticos del sistema deben incluir mecanismos automáticos de detección de fallos y recuperación sin intervención humana.,covered,"NIST SP 800-53 Rev.5 SC-7(8), ISO 27002:2022 5.30, DISA STIG APP3550","Minimiza el tiempo de inactividad ante fallos parciales, evitando la necesidad de intervención humana inmediata.",Simulación de fallos de servicio con verificación de autorrecuperación o reinicio automático.,H
SIR-061,Debe existir un mecanismo de replicación síncrona o asíncrona para las bases de datos y almacenamiento que contenga ePHI.,covered,"ISO 27002:2022 5.33, NIST SP 800-53 Rev.5 CP-6, HIPAA 45 CFR §164.308(a)(7)",Asegura la persistencia e integridad de datos clínicos en caso de falla del nodo principal o desastre físico.,Revisión de configuración de replicación y pruebas de conmutación por error.,H
SIR-062,El sistema debe establecer objetivos de RTO y RPO documentados para cada servicio crítico y validarlos mediante pruebas periódicas.,covered,"NIST SP 800-53 Rev.5 CP-2, ISO 27002:2022 5.31, Canada Health Infoway Req. 30","Define expectativas claras de continuidad para cada componente esencial, mejorando la planificación y control del riesgo.",Documentación de RTO y RPO + evidencia de simulacros de recuperación.,M
SIR-063,El sistema debe monitorear continuamente la disponibilidad de la infraestructura crítica y enviar alertas automáticas ante eventos anómalos.,covered,"NIST SP 800-53 Rev.5 IR-5, ISO 27002:2022 5.22, DISA STIG APP3540",Permite detectar y reaccionar rápidamente ante incidentes que comprometan la operación clínica.,"Revisión de la plataforma de monitoreo, simulación de alerta y verificación de notificación.",H
SIR-064,"El sistema debe garantizar la trazabilidad completa de todas las modificaciones realizadas sobre registros clínicos, incluyendo quién, cuándo y qué se modificó.",covered,"ISO 27799:2016 8.3, NIST AU-3, HIPAA §164.312(b)","Permite auditoría clínica, análisis forense y control de calidad en registros de salud electrónicos (ePHI).",Verificación del log de auditoría detallado en los cambios sobre historias clínicas.,H
SIR-065,El sistema debe aplicar controles automáticos de integridad que validen que los datos clínicos almacenados no han sido alterados de forma no autorizada.,covered,"ISO 27002:2022 8.16, NIST SI-7(1), HIPAA §164.312(c)(1)","Preserva la confiabilidad médica de los datos clínicos frente a errores, corrupción o ataques.","Verificación de uso de checksums, firmas digitales o registros hash sobre la ePHI.",H
SIR-066,"Debe establecerse un modelo de gobierno de datos que defina responsables, procesos de validación y control de calidad sobre la información clínica.",covered,"ISO 27799:2016 7.3, ISO 27002:2022 5.9, NIST PM-1","Establece roles claros y controles sobre el ciclo de vida de los datos clínicos, promoviendo consistencia y confiabilidad.",Revisión de la política de gobierno de datos y existencia de comité o responsables asignados.,M
SIR-067,Los datos clínicos deben estar sujetos a reglas de validación semántica y estructural antes de su persistencia.,covered,"ISO 27799:2016 7.5, NIST SI-10, OWASP A08:2021","Evita que se almacenen registros con incoherencias clínicas, errores de formato o duplicidades.",Revisión de validadores automáticos implementados y testing con datos erróneos.,H
SIR-068,"El sistema debe conservar los registros clínicos íntegros, completos y accesibles durante el tiempo legalmente establecido según la jurisdicción aplicable.",covered,"HIPAA §164.316(b)(2)(i), ISO 27799:2016 8.3.5, ISO 27002:2022 5.27","Asegura la disponibilidad legal, clínica y operativa de los datos de pacientes ante auditorías o tratamientos futuros.",Validación de políticas de retención y configuración de almacenamiento con acceso controlado y resiliencia.,H
SIR-069,El sistema debe contar con soluciones antimalware actualizadas en todos los servidores y estaciones de trabajo que acceden a OpenEMR.,covered,"ISO 27002:2022 8.7, NIST SI-3, HIPAA §164.308(a)(5)(ii)(B)","Previene la infección por software malicioso que pueda comprometer la ePHI, afectar la disponibilidad del sistema o propagar ransomware.","Inspección de agentes antimalware instalados, políticas de actualización automática y reportes de eventos.",H
SIR-070,Debe implementarse un sistema de detección de intrusos (IDS) para monitorear tráfico y alertar sobre patrones maliciosos o no autorizados.,partial,"NIST SI-4, ISO 27002:2022 5.22, DISA STIG APP3540","Permite detectar ataques automatizados, escaneos y explotación de vulnerabilidades de forma proactiva.","Verificación de sensores IDS activos, reglas de detección y pruebas de escaneo controlado.",H
SIR-071,Los servidores deben contar con capacidades EDR (Endpoint Detection and Response) que permitan análisis de comportamiento y contención automática de amenazas.,covered,"NIST SP 800-94, ISO 27002:2022 8.7.4",Aumenta la capacidad de respuesta ante amenazas avanzadas que evaden los controles tradicionales.,Verificación de solución EDR desplegada y pruebas de simulación de actividad sospechosa.,H
SIR-072,"El sistema debe bloquear automáticamente direcciones IP que generen patrones de ataque automatizado como escaneos, fuerza bruta o consultas malformadas.",covered,"OWASP A07:2021, NIST AC-7, ISO 27002:2022 5.17.6",Reduce el riesgo de intrusión por automatismos y herramientas de ataque de bajo costo.,Revisión de políticas de bloqueo (firewall o WAF) y pruebas de escaneo simuladas.,H
SIR-073,Los archivos adjuntos y cargas de datos en OpenEMR deben ser escaneados por antivirus antes de almacenarse o procesarse.,partial,"ISO 27002:2022 8.7.2, HIPAA §164.308(a)(5)(ii)(B)",Evita la introducción de malware a través de documentos adjuntos o ficheros subidos por usuarios internos o externos.,"Revisión de configuración de escaneo en gateway o backend, y pruebas con archivos de prueba como EICAR.",M
SIR-074,"Se debe mantener un Software Bill of Materials (SBOM) actualizado con todas las bibliotecas, dependencias y componentes de terceros utilizados en OpenEMR.",covered,"NIST SP 800-218, ISO 27002:2022 5.20, Executive Order 14028 (EEUU)","Permite identificar rápidamente componentes afectados por vulnerabilidades conocidas (p. ej., CVEs), mejorando la gestión del riesgo.",Generación automatizada de SBOM con herramientas como Syft o CycloneDX + validación en repositorio CI/CD.,H
SIR-075,"Todos los paquetes, bibliotecas y artefactos de terceros utilizados deben verificarse mediante firma digital antes de su incorporación al entorno productivo.",covered,"NIST SP 800-218 §5.2, ISO 27002:2022 8.8.4",Previene ataques por inyección de código malicioso en dependencias (ej. supply chain attacks como SolarWinds o log4j).,Revisión automatizada de firma o hash SHA-256 en pipeline CI/CD antes de permitir despliegue.,H
SIR-076,Se debe contar con un proceso automatizado de detección de vulnerabilidades en dependencias de software de terceros utilizadas por OpenEMR.,covered,"OWASP A06:2021, NIST SP 800-40 Rev.3, ISO 27002:2022 8.9.2",Reduce la exposición a vulnerabilidades conocidas mediante escaneo proactivo en bibliotecas integradas.,"Uso de escáneres SCA (Software Composition Analysis) como Snyk, Grype o Trivy con reportes periódicos.",H
SIR-079,El acceso físico a las salas de servidores o centros de datos donde se almacena o procesa ePHI debe estar restringido mediante controles de acceso físico robustos.,covered,"ISO 27002:2022 7.4, HIPAA §164.310(a)(1), NIST PE-3",Evita el acceso no autorizado a los sistemas físicos que contienen datos sensibles o respaldos críticos.,"Inspección de registros de control de acceso físico, validación de mecanismos biométricos, tarjetas, cerraduras electrónicas.",H
SIR-077,Todo software de terceros embebido debe tener una evaluación de seguridad previa antes de ser aprobado para su uso en el entorno clínico.,covered,"ISO 27002:2022 5.19, NIST SA-12, Canada Health Infoway Req. 38",Garantiza que los componentes externos cumplen los requisitos de seguridad y no introducen riesgos ocultos.,"Checklist de revisión de software de terceros, revisión de licencias y resultado de análisis de vulnerabilidades.",M
SIR-078,"El sistema debe registrar todos los componentes de software externos en un inventario centralizado con metadatos de versión, autor y licencia.",covered,"ISO 27002:2022 5.20.3, NIST CM-8, SPDX Specification v2.3","Facilita la trazabilidad, auditoría de licencias y respuesta ante incidentes en la cadena de suministro.",Revisión del inventario de componentes y validación cruzada con el SBOM generado.,M
SIR-080,"Los equipos que contienen ePHI deben estar protegidos contra daños físicos por agua, fuego, humedad o sobrecalentamiento.",covered,"ISO 27002:2022 7.9, ISO 27799:2016 8.3.3, NIST PE-10",Minimiza el riesgo de pérdida de disponibilidad o integridad debido a fallos ambientales.,"Revisión de infraestructura con sensores de temperatura, humedad, humo e instalación de UPS o detectores.",H
SIR-081,"Debe mantenerse una política de zonas seguras con delimitación de áreas restringidas para equipos, redes y almacenamiento de respaldos.",covered,"ISO 27002:2022 7.5, NIST PE-5, HIPAA §164.310(a)(2)(iii)",Reduce la exposición innecesaria de infraestructura crítica y facilita auditoría física.,"Planos de zonas seguras, registro de autorización y cartelería física en áreas restringidas.",M
SIR-082,"Todo acceso físico debe registrarse, conservarse al menos por 1 año y estar disponible para auditoría en caso de incidentes.",covered,"ISO 27002:2022 7.4.3, NIST PE-6, Canada Health Infoway Req. 23","Permite detectar accesos no autorizados, investigar incidentes y validar cumplimiento normativo.","Revisión de bitácoras físicas o electrónicas de acceso (logs, cámaras, tarjetas).",M
SIR-083,El sistema debe contar con políticas de ubicación segura y disposición controlada de dispositivos obsoletos que contengan ePHI.,covered,"ISO 27002:2022 8.10.5, HIPAA §164.310(d)(2)(i)","Evita exposición de datos clínicos al retirar o desechar discos duros, medios de respaldo o terminales descontinuadas.",Revisión del procedimiento de baja de activos y evidencia de destrucción certificada o borrado seguro (wipe).,H
