id,requerimiento_id,descripcion,referencia_normativa,prioridad,justificacion,metodo_validacion,dependencias_exclusiones,categoria,ejemplo_practico,fecha_creacion,tag,norma_sugerida,legibility_score,ambiguous_terms
1,SIR-001,El sistema debe implementar control de acceso basado en roles (RBAC) para restringir el acceso a la ePHI según el perfil del usuario.,"NIST SP 800-53 Rev.5 AC-3, ISO 27002:2022 5.15, HIPAA 45 CFR §164.312(a)(1)",Alta,Minimiza el riesgo de acceso no autorizado a información sensible. Es fundamental para proteger la confidencialidad de los datos de salud.,Inspección del sistema de gestión de identidades y roles + prueba funcional de acceso.,"Depende de SIR-002 (gestión de identidades), excluye controles estáticos por usuario.","Broken Access Control (OWASP A01:2021), CWE-862","Usuario tipo ""administrativo"" no puede acceder a módulos clínicos como e-prescripción.",2025-04-11T15:24:55.675821+00:00,,,48.13,[]
4,SIR-002,El sistema debe autenticar a los usuarios mediante credenciales fuertes con doble factor (2FA).,"NIST SP 800-53 Rev.5 IA-2(1), ISO 27002:2022 5.17, DISA STIG V-222390",Alta,"Previene el acceso fraudulento por robo o suplantación de credenciales, especialmente en entornos expuestos (teletrabajo, móviles).",Revisión de política de autenticación y pruebas de acceso con 2FA.,Requiere integración de mecanismo 2FA seguro. Relacionado con SIR-001 y SIR-006.,"Identification and Authentication Failures (OWASP A07:2021), CWE-287",Uso de aplicación de autenticación OTP como Google Authenticator o claves FIDO2.,2025-04-11T16:16:12.455682+00:00,,,40.35,[]
5,SIR-003,Las sesiones de usuario deben cerrarse automáticamente tras 15 minutos de inactividad.,"HIPAA 45 CFR §164.312(b), DISA STIG V-222389, NIST AC-12",Media,Reduce el riesgo de secuestro de sesión cuando un usuario deja una sesión activa sin supervisión.,Configuración del sistema + pruebas de expiración de sesión.,Requiere mecanismo de monitoreo de actividad de sesión.,"Session Management, Broken Access Control",El sistema cierra automáticamente la sesión del médico tras 15 minutos sin uso.,2025-04-11T16:16:12.455682+00:00,,,42.38,[]
6,SIR-004,Toda la información ePHI transmitida fuera del entorno seguro debe estar cifrada mediante TLS 1.2 o superior.,"HIPAA 45 CFR §164.312(e)(1), ISO 27799:2016 10.1, NIST SC-12, DISA STIG V-222396",Alta,Protege la confidencialidad e integridad de la ePHI durante su transmisión en redes no confiables.,"Análisis de red, escaneo de configuración SSL/TLS.","Complementa SIR-005 (cifrado en reposo), requiere certificados válidos.","Cryptographic Failures (OWASP A02:2021), CWE-311",El acceso a OpenEMR vía navegador se realiza exclusivamente por HTTPS.,2025-04-11T16:16:12.455682+00:00,,,37.47,[]
7,SIR-005,La base de datos debe cifrar la ePHI en reposo usando AES-256.,"NIST SC-28, ISO 27002:2022 10.1, HIPAA 45 CFR §164.312(a)(2)(iv)",Alta,Protege la confidencialidad de los datos en caso de acceso físico o lógico a los servidores.,Revisión técnica del sistema de almacenamiento y configuración de cifrado.,Relacionado con SIR-004.,"Cryptographic Failures, Data at Rest Protection",Cifrado de discos mediante LUKS o cifrado nativo en MySQL con claves almacenadas en KMS.,2025-04-11T16:16:12.455682+00:00,,,84.68,[]
8,SIR-006,"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.","NIST AU-2, ISO 27002:2022 5.25, HIPAA 45 CFR §164.312(b)",Alta,Permite detectar accesos no autorizados o anómalos a información crítica.,"Revisión de archivos de log, pruebas de auditoría.",Requiere mecanismos de retención y protección de logs (ver SIR-007).,"Security Logging and Monitoring (OWASP A09:2021), CWE-778",Registro automático de todas las consultas y ediciones a fichas de pacientes.,2025-04-11T16:16:12.455682+00:00,,,36.28,[]
9,SIR-007,Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.,"HIPAA §164.316(b), NIST AU-11, ISO 27002:2022 5.27",Alta,Garantiza evidencia de cumplimiento y soporte en auditorías.,Configuración de retención y control de integridad de logs.,Requiere implementación de SIR-006.,"Audit and Accountability, Non-Repudiation",Almacenamiento en sistema WORM o SIEM con control de integridad.,2025-04-11T16:16:12.455682+00:00,,,29.86,[]
10,SIR-008,El sistema debe validar de forma estricta todos los datos introducidos por usuarios para evitar inyecciones SQL o de comandos.,"OWASP A03:2021, CWE-89, CWE-77, NIST SI-10",Alta,Previene ataques que podrían comprometer la integridad del sistema y exfiltrar información sensible.,"Revisión de código, pruebas de penetración y fuzzing.",Relacionado con controles de desarrollo seguro.,"Injection, Improper Input Validation",Uso de sentencias preparadas y validación de campos.,2025-04-11T16:16:12.455682+00:00,,,17.34,[]
11,SIR-009,El sistema debe contar con un plan documentado y probado de continuidad de negocio para asegurar la disponibilidad de la ePHI.,"ISO 27002:2022 5.30, NIST CP-2, HIPAA 45 CFR §164.308(a)(7)(i)",Alta,"Garantiza la disponibilidad de la ePHI ante desastres naturales, fallos tecnológicos o ataques.",Revisión del plan de continuidad y pruebas de simulación.,Relacionado con SIR-010 y SIR-011.,"Business Continuity, Availability Management",Plan de recuperación con objetivos RTO < 4h y RPO < 1h.,2025-04-11T16:16:12.455682+00:00,,,33.24,[]
12,SIR-010,El sistema debe realizar copias de seguridad automáticas y regulares de todos los datos que incluyan ePHI.,"HIPAA 45 CFR §164.308(a)(7)(ii)(A), NIST CP-9, ISO 27002:2022 5.33",Alta,Asegura la restauración de la ePHI ante fallos o incidentes.,Auditoría de políticas de backup y verificación de registros.,Relacionado con SIR-009 y SIR-005.,"Data Recovery, Resilience",Copias incrementales diarias y completas semanales cifradas en AWS Glacier.,2025-04-11T16:16:12.455682+00:00,,,54.22,[]
13,SIR-011,Deben implementarse mecanismos de alta disponibilidad y redundancia para servicios críticos del sistema EHR.,"NIST SC-6, ISO 27002:2022 5.30, OWASP A08:2021",Alta,Minimiza el impacto de fallas en servicios críticos.,Inspección de arquitectura y simulación de fallos.,Requiere monitoreo activo (ver SIR-012).,"Availability, Infrastructure Security",Balanceo de carga activo-activo y clúster multi-zona en AWS.,2025-04-11T16:16:12.455682+00:00,,,6.5,[]
14,SIR-012,Debe monitorizarse en tiempo real la disponibilidad de los componentes y generar alertas ante fallos o degradación.,"NIST IR-5, ISO 27002:2022 5.22, HIPAA §164.308(a)(6)",Alta,Permite la detección temprana de incidentes para reducir tiempos de recuperación.,Verificación de integración de herramientas de monitoreo.,Complementa SIR-011 y SIR-009.,"Monitoring & Alerting, Logging and Monitoring","Integración con Prometheus, Grafana y alertas en canales 24/7.",2025-04-11T16:16:12.455682+00:00,,,37.3,[]
15,SIR-013,El plan de continuidad debe incluir escenarios específicos de ciberataques como ransomware o denegación de servicio.,"NIST CP-2, DISA STIG, ISO 27002:2022 5.24",Media,Asegura que el plan de continuidad aborde amenazas cibernéticas.,Análisis de escenarios y simulacros de recuperación.,"Relacionado con SIR-009, SIR-006 y SIR-010.",Incident Response & Resilience,Simulacros de ransomware con restauración desde backup limpio.,2025-04-11T16:16:12.455682+00:00,,,29.86,[]
16,SIR-014,Se deben definir y probar procedimientos de operación manual temporal para continuidad mínima del servicio.,"ISO 27002:2022 5.29, NIST CP-10, Canada Health Infoway Req. 31",Media,Permite continuar con atención básica en caso de caída total del sistema digital.,Revisión documental y pruebas piloto offline.,Complemento de SIR-009.,"Business Continuity, Offline Resilience","Uso de formularios impresos para admisión y recetas, sincronizados posteriormente.",2025-04-11T16:16:12.455682+00:00,,,22.41,[]
17,SIR-015,El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.,"ISO 27799:2016 8.1.3, HIPAA §164.508, Canada Health Infoway Req. 4",Alta,Esencial para respetar los derechos del titular de los datos y cumplir regulaciones.,Verificación de pantallas/formularios y registro en base de datos.,Requiere SIR-016 para revocación de consentimiento.,"Privacy Consent, Legal & Regulatory Compliance",Consentimiento digital firmado en interfaz web previo al primer uso.,2025-04-11T16:16:12.455682+00:00,,,10.91,[]
18,SIR-016,"El sistema debe permitir que el paciente revoque su consentimiento previamente otorgado, reflejando el cambio en tiempo real.","HIPAA §164.522(b), ISO 27799:2016 8.1.4",Alta,Respetar la autonomía del paciente y permitir modificar decisiones previas.,Verificación de la interfaz de revocación y revisión de logs.,Requiere SIR-015 implementado.,"Data Subject Rights, Consent Management",Portal del paciente que permita revocar accesos sin afectar atención clínica.,2025-04-11T16:16:12.455682+00:00,,,27.83,[]
19,SIR-017,"El sistema debe aplicar principios de minimización de datos, recolectando y procesando solo la ePHI estrictamente necesaria.","ISO 27799:2016 7.1.3, NIST AP-1, Canada Health Infoway Req. 8",Alta,Reduce el riesgo de exposición innecesaria y fortalece la privacidad desde el diseño.,Análisis de procesos y formularios.,Complementa SIR-015.,"Privacy by Design, Data Minimization",Exclusión de campos irrelevantes como nacionalidad o religión.,2025-04-11T16:16:12.455682+00:00,,,37.3,[]
20,SIR-018,"Debe implementarse trazabilidad detallada sobre qué usuarios acceden, consultan o modifican ePHI por paciente.","HIPAA §164.312(b), ISO 27002:2022 5.26, NIST AU-3",Alta,Permite llevar auditorías efectivas y controlar el acceso a datos sensibles.,Revisión de logs segmentados por paciente.,Complementa SIR-006 y SIR-007.,"Auditability, Data Provenance, Accountability",Registro detallado de accesos a historias clínicas con IP y timestamp.,2025-04-11T16:16:12.455682+00:00,,,-10.42,[]
21,SIR-019,El sistema debe permitir que el paciente acceda y revise su propia ePHI de forma segura.,"HIPAA §164.524, ISO 27799:2016 8.2.1, Canada Health Infoway Req. 5",Media,Fomenta la transparencia y el control por parte del paciente sobre sus datos.,Pruebas funcionales del portal del paciente.,Relacionado con SIR-020.,"Data Subject Access, Transparency",Acceso autenticado a historial clínico desde interfaz móvil.,2025-04-11T16:16:12.455682+00:00,,,55.24,[]
22,SIR-020,El sistema debe permitir que el paciente solicite la rectificación de su ePHI cuando identifique errores.,"HIPAA §164.526, ISO 27799:2016 8.2.2, NIST AP-2",Media,Garantiza la precisión de la información de salud.,Validación del flujo de solicitud y auditoría de cambios.,Complementa SIR-019.,"Data Integrity, Accuracy, Patient Rights",Solicitud de corrección mediante módulo de atención al paciente.,2025-04-11T16:16:12.455682+00:00,,,38.32,[]
23,SIR-021,El sistema debe anonimizar o seudonimizar los datos antes de su uso para fines secundarios.,"ISO 27799:2016 9.3, NIST PM-19, Canada Health Infoway Req. 11",Alta,Protege la identidad del paciente en usos no asistenciales.,Hashing de identificadores y control de accesos.,Complementa SIR-015 y SIR-017.,"Data Anonymization, Secondary Use Controls",Reemplazo de identificadores por claves internas irreversibles.,2025-04-11T16:16:12.455682+00:00,,,56.25,[]
24,SIR-022,"El sistema debe aplicar políticas de retención mínima de ePHI conforme a requisitos legales y clínicos, eliminando datos innecesarios.","HIPAA §164.316(b), ISO 27799:2016 9.1, NIST DM-2",Media,Disminuye el riesgo y controla el ciclo de vida de la ePHI.,Revisión de políticas y ejecuciones automatizadas.,Requiere SIR-007.,"Data Lifecycle Management, Retention and Disposal",Eliminación automática de datos que superen los 10 años de almacenamiento.,2025-04-11T16:16:12.455682+00:00,,,26.81,[]
25,SIR-023,Los datos ePHI no deben transferirse a jurisdicciones fuera del país sin evaluaciones de riesgo y cumplimiento.,"ISO 27799:2016 9.2, NIST PM-5, Canada Health Infoway Req. 14",Alta,Protege los derechos de los pacientes frente a legislaciones menos estrictas.,Evaluación contractual y de ubicación de servidores.,Depende de políticas de cloud y geolocalización.,"Cross-Border Data Transfers, Legal Compliance",Evaluación DPIA antes de usar proveedores cloud fuera de EE. UU. o Canadá.,2025-04-11T16:16:12.455682+00:00,,,54.22,[]
26,SIR-024,El sistema debe proteger los metadatos asociados a ePHI para evitar inferencias indebidas.,"ISO 27799:2016 7.5.2, NIST AC-16, OWASP Top 10 Privacy Risks (P4)",Media,Una metadata inadecuada puede revelar información sensible indirecta.,Análisis de registros y eliminación de información sensible en los metadatos.,Complementa SIR-021 y SIR-006.,"Metadata Privacy, Inference Protection","Eliminación de autores, timestamps y ubicaciones en exportes de datos.",2025-04-11T16:16:12.455682+00:00,,,24.44,[]
27,SIR-025,"El sistema debe diferenciar claramente el acceso a datos identificables, seudonimizados y anonimizados mediante control de roles.","ISO 27799:2016 8.1.6, NIST AC-16, Canada Health Infoway Req. 12",Alta,Establece barreras para minimizar el riesgo de reidentificación indebida.,Validación de matrices de permisos y simulación de accesos cruzados.,Requiere SIR-001 y SIR-021.,"Data Segmentation, Role-Based Privacy Enforcement",Acceso restringido a datos seudonimizados para investigación sin identificar al paciente.,2025-04-11T16:16:12.455682+00:00,,,11.92,[]
28,SIR-026,"El sistema debe permitir establecer políticas de acceso diferencial en función del contexto de uso (atención, auditoría, investigación).","ISO 27799:2016 8.1.5, NIST AC-3(3), Canada Health Infoway Req. 7",Alta,Reduce el riesgo de acceso indebido según el contexto de uso.,Verificación de configuraciones de acceso y análisis de logs.,Relacionado con SIR-001 y SIR-025.,"Context-Aware Access Control, Least Privilege",Acceso limitado a funciones críticas según el rol y contexto.,2025-04-11T16:16:12.455682+00:00,,,10.91,[]
29,SIR-027,El sistema debe notificar al paciente cuando su ePHI sea accedida para usos no asistenciales o por terceros.,"HIPAA §164.528, ISO 27799:2016 8.2.3, Canada Health Infoway Req. 6",Media,Aumenta la transparencia y confianza al informar al paciente.,Verificación de logs y pruebas de notificación.,Requiere SIR-006 y SIR-018.,"Transparency, Data Usage Notification",Alerta automática por correo cuando se consulta el historial clínico.,2025-04-11T16:16:12.455682+00:00,,,44.75,[]
30,SIR-028,El sistema debe aplicar validación estricta de entradas tanto del lado cliente como del servidor para prevenir inyecciones y corrupción de datos.,"OWASP A03:2021, CWE-20, CWE-89, DISA STIG V-222401, ISO 27002:2022 5.23",Alta,Previene ataques que puedan comprometer la integridad del sistema.,Revisión de código y pruebas de fuzzing.,Relacionado con SIR-008.,"Input Validation, Secure Coding Practices",Uso de filtros sanitizadores y consultas parametrizadas.,2025-04-11T16:16:12.455682+00:00,,,40.69,[]
31,SIR-029,"El sistema debe evitar el uso de credenciales hardcoded, usando mecanismos seguros para la gestión de secretos.","CWE-798, NIST SC-12, DISA STIG V-222440, ISO 27002:2022 8.2.4",Alta,Previene la exposición accidental de credenciales que comprometan la infraestructura.,Análisis de repositorios y uso de herramientas de escaneo.,Complemento de políticas de DevSecOps.,"Credential Management, Secrets Handling",Utilizar AWS Secrets Manager para almacenar claves API de forma segura.,2025-04-11T16:16:12.455682+00:00,,,28.84,[]
32,SIR-030,Todo código fuente debe ser revisado por al menos un segundo desarrollador antes de entrar a producción.,"NIST SA-11, ISO 27002:2022 5.8, DISA STIG V-222433",Media,Detecta errores y vulnerabilidades que puedan pasar desapercibidos.,Revisión de pull requests y trazabilidad en CI/CD.,Requiere prácticas de gestión de configuración (SIR-033).,"Code Review, Secure Development Lifecycle",Uso de GitHub Actions para bloquear merges sin revisión doble.,2025-04-11T16:16:12.455682+00:00,,,37.3,[]
33,SIR-031,Las dependencias y componentes de terceros deben ser analizados contra vulnerabilidades conocidas (SBOM).,"OWASP A06:2021, NIST SI-7, ISO 27002:2022 5.23, DISA STIG V-222437",Alta,Previene explotaciones mediante componentes vulnerables.,Uso de escáneres de composición de software y alertas de CVE.,Relacionado con SIR-032.,"Vulnerable Components, Software Supply Chain",Implementar Dependabot o Snyk para revisar actualizaciones.,2025-04-11T16:16:12.455682+00:00,,,7.52,[]
34,SIR-032,El sistema debe aplicar parches de seguridad de manera periódica y automatizada.,"NIST SI-2, DISA STIG V-222441, ISO 27002:2022 5.28",Alta,La aplicación oportuna de parches minimiza la exposición a vulnerabilidades conocidas.,Revisión de políticas de parches y registros de despliegue.,Requiere mecanismos de pruebas en entornos de staging.,"Patch Management, System Hardening",Automatización semanal de actualizaciones en contenedores Docker a través de pipelines.,2025-04-11T16:16:12.455682+00:00,,,25.46,[]
35,SIR-033,Se debe implementar control de versiones y gestión de cambios en todos los activos de software.,"ISO 27002:2022 5.8, NIST CM-3, DISA STIG V-222430",Media,Facilita la trazabilidad de cambios y auditoría.,Auditoría del sistema de control de versiones y gestión de ramas.,Requiere una cultura DevSecOps consolidada.,"Configuration Management, Change Control",Integración con GitLab y uso obligatorio de merge requests con revisión.,2025-04-11T16:16:12.455682+00:00,,,55.24,[]
36,SIR-034,El sistema debe incluir un proceso formal de gestión y respuesta a incidentes de seguridad.,"ISO 27002:2022 5.25, NIST IR-4, HIPAA §164.308(a)(6)",Alta,Permite una respuesta rápida y coordinada ante incidentes para minimizar el impacto.,Documentación de procedimientos y simulacros de respuesta.,Complementa SIR-012 y SIR-006.,"Incident Response, Security Operations",Guía de actuación ante ransomware con responsables definidos.,2025-04-11T16:16:12.455682+00:00,,,47.79,[]
37,SIR-035,Se deben definir métricas y criterios de severidad para clasificar los incidentes de seguridad.,"NIST IR-4, ISO 27002:2022 5.25.3",Media,Facilita la priorización y respuesta a incidentes mediante clasificación estandarizada.,Verificación de la taxonomía y simulación de escalamiento.,Requiere implementación de SIR-034.,"Incident Classification, Risk Management","Clasificación de incidentes como ""alto"" si superan 500 registros comprometidos.",2025-04-11T16:16:12.455682+00:00,,,31.89,[]
38,SIR-036,"El sistema debe notificar al oficial de privacidad y seguridad, así como a los usuarios afectados, cuando ocurra una violación de ePHI.","HIPAA §164.404, ISO 27799:2016 8.3, NIST IR-6",Alta,Garantiza el cumplimiento legal y la transparencia en la gestión de brechas.,Verificación de notificaciones y revisión de logs de incidentes.,Depende de SIR-034 y SIR-006.,"Breach Notification, Compliance",Envío automático de alertas al oficial de seguridad y aviso a usuarios afectados.,2025-04-11T16:16:12.455682+00:00,,,32.22,[]
39,SIR-037,"Todos los incidentes deben documentarse en un registro centralizado con fecha, tipo, impacto, medidas y seguimiento.","ISO 27002:2022 5.25.4, NIST IR-5, HIPAA §164.308(a)(6)(ii)",Media,La documentación detallada permite análisis forense y mejora continua.,Revisión de la documentación y simulación de incidentes.,Relacionado con SIR-034 y SIR-035.,"Incident Tracking, Accountability",Sistema interno que codifica y documenta cada incidente con responsables asignados.,2025-04-11T16:16:12.455682+00:00,,,29.86,[]
40,SIR-038,"El personal debe recibir formación periódica en detección, reporte y actuación ante incidentes de seguridad.","NIST AT-2, ISO 27002:2022 6.3, HIPAA §164.308(a)(5)",Media,La capacitación mejora la detección temprana de amenazas.,Registro de asistencias y evaluaciones formativas.,Complementa SIR-034.,"Security Awareness, Human Risk Management",Cursos anuales obligatorios sobre seguridad y respuesta a incidentes.,2025-04-11T16:16:12.455682+00:00,,,22.41,[]
41,SIR-039,Todo acceso a OpenEMR debe estar sujeto a autenticación mediante credenciales únicas e intransferibles por usuario.,"ISO 27002:2022 5.17, NIST IA-2, HIPAA §164.312(d)",Alta,"Previene el acceso compartido o no autorizado, garantizando trazabilidad.",Revisión de políticas de autenticación y pruebas de acceso.,Base para SIR-002 (2FA) y SIR-040.,"Authentication, Identity Assurance","Acceso con usuario único, por ejemplo ""medico1"".",2025-04-11T16:16:12.455682+00:00,,,4.47,[]
42,SIR-040,El sistema debe forzar el cambio periódico de credenciales según política definida (mínimo cada 90 días).,"NIST IA-5(1), ISO 27002:2022 5.17.3, DISA STIG V-222402",Media,Minimiza riesgos asociados a credenciales antiguas.,Revisión de políticas y registros de cambio.,Requiere SIR-039 y políticas de gestión de usuarios.,Credential Lifecycle Management,Cambio obligatorio de contraseña cada 90 días sin reutilización de las últimas 5.,2025-04-11T16:16:12.455682+00:00,,,46.78,[]
43,SIR-041,"Toda cuenta de usuario debe estar sujeta a un proceso de alta, baja y modificación controlado (ciclo de vida IAM).","ISO 27002:2022 5.18, NIST AC-2, HIPAA §164.308(a)(3)",Alta,Asegura que solo usuarios autorizados tengan acceso y sean desactivados cuando ya no lo requieren.,Auditoría de procesos de provisión y revocación.,Relacionado con SIR-001 y SIR-039.,"Identity Provisioning, Access Governance",Revocación automática en menos de 24 horas al desvincular a un usuario.,2025-04-11T16:16:12.455682+00:00,,,25.8,[]
44,SIR-042,Se deben registrar intentos de acceso fallidos y generar alertas ante patrones sospechosos (ej. 5 intentos).,"NIST AC-7, ISO 27002:2022 5.17.6, OWASP A07:2021",Alta,Permite detectar ataques de fuerza bruta y accesos indebidos.,Simulación de fallos y revisión de logs.,Relacionado con SIR-006 y SIR-012.,"Access Control Monitoring, Brute Force Protection",Bloqueo temporal tras 5 intentos fallidos y notificación.,2025-04-11T16:16:12.455682+00:00,,,29.86,[]
45,SIR-043,"El sistema debe soportar federación de identidad para facilitar el acceso seguro de usuarios externos (SSO, SAML, OIDC).","ISO 27002:2022 5.17.4, NIST IA-8, Canada Health Infoway Req. 20",Media,Facilita la integración segura con sistemas externos.,Pruebas de integración con proveedor federado.,Requiere SIR-039 y compatibilidad con SSO.,"Federated Access, Interoperability",Acceso mediante login federado sin creación de cuentas locales.,2025-04-11T16:16:12.455682+00:00,,,27.83,[]
46,SIR-044,"El sistema debe deshabilitar o eliminar todos los servicios, puertos y protocolos no utilizados en los servidores.","DISA STIG APP3510, ISO 27002:2022 5.23, NIST CM-7",Alta,Reduce la superficie de ataque.,Escaneo de puertos y revisión de configuraciones.,Requiere una política de configuración base.,"Attack Surface Reduction, Secure Configuration",Deshabilitar servicios innecesarios como Telnet o FTP.,2025-04-11T16:16:12.455682+00:00,,,20.38,[]
47,SIR-045,Todos los sistemas deben aplicar políticas seguras de contraseñas a nivel de sistema operativo.,"DISA STIG APP3520, ISO 27002:2022 5.17, NIST IA-5",Alta,Aumenta la robustez de las credenciales y protege el acceso.,Revisión de configuraciones PAM/Linux y políticas de grupos en Windows.,Complementa SIR-040 y SIR-002.,"System Authentication, Password Policy Enforcement","Política de mínimo 12 caracteres, combinación de símbolos y bloqueo tras 5 intentos.",2025-04-11T16:16:12.455682+00:00,,,40.35,[]
