requerimiento_id,descripcion,legibility_score,similitud_maxima
SIR-001,El sistema debe implementar control de acceso basado en roles (RBAC) para restringir el acceso a la ePHI según el perfil del usuario.,48.13,0.73-SIR-025
SIR-002,El sistema debe autenticar a los usuarios mediante credenciales fuertes con doble factor (2FA).,40.35,0.61-SIR-039
SIR-003,Las sesiones de usuario deben cerrarse automáticamente tras 15 minutos de inactividad.,42.38,0.60-SIR-132
SIR-004,Toda la información ePHI transmitida fuera del entorno seguro debe estar cifrada mediante TLS 1.2 o superior.,37.47,0.70-SIR-111
SIR-005,La base de datos debe cifrar la ePHI en reposo usando AES-256.,84.68,0.70-SIR-116
SIR-006,"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.",36.28,0.80-SIR-128
SIR-007,Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.,29.86,0.75-SIR-082
SIR-008,El sistema debe validar de forma estricta todos los datos introducidos por usuarios para evitar inyecciones SQL o de comandos.,17.34,0.67-SIR-028
SIR-009,El sistema debe contar con un plan documentado y probado de continuidad de negocio para asegurar la disponibilidad de la ePHI.,33.24,0.74-SIR-155
SIR-010,El sistema debe realizar copias de seguridad automáticas y regulares de todos los datos que incluyan ePHI.,54.22,0.70-SIR-048
SIR-011,Deben implementarse mecanismos de alta disponibilidad y redundancia para servicios críticos del sistema EHR.,6.5,0.62-SIR-153
SIR-012,Debe monitorizarse en tiempo real la disponibilidad de los componentes y generar alertas ante fallos o degradación.,37.3,0.78-SIR-063
SIR-013,El plan de continuidad debe incluir escenarios específicos de ciberataques como ransomware o denegación de servicio.,29.86,0.81-SIR-103
SIR-014,Se deben definir y probar procedimientos de operación manual temporal para continuidad mínima del servicio.,22.41,0.59-SIR-062
SIR-015,El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.,10.91,0.85-SIR-020
SIR-016,"El sistema debe permitir que el paciente revoque su consentimiento previamente otorgado, reflejando el cambio en tiempo real.",27.83,0.78-SIR-019
SIR-017,"El sistema debe aplicar principios de minimización de datos, recolectando y procesando solo la ePHI estrictamente necesaria.",37.3,0.66-SIR-022
SIR-018,"Debe implementarse trazabilidad detallada sobre qué usuarios acceden, consultan o modifican ePHI por paciente.",-10.42,0.73-SIR-019
SIR-019,El sistema debe permitir que el paciente acceda y revise su propia ePHI de forma segura.,55.24,0.82-SIR-020
SIR-020,El sistema debe permitir que el paciente solicite la rectificación de su ePHI cuando identifique errores.,38.32,0.85-SIR-015
SIR-021,El sistema debe anonimizar o seudonimizar los datos antes de su uso para fines secundarios.,56.25,0.58-SIR-045
SIR-022,"El sistema debe aplicar políticas de retención mínima de ePHI conforme a requisitos legales y clínicos, eliminando datos innecesarios.",26.81,0.73-SIR-015
SIR-023,Los datos ePHI no deben transferirse a jurisdicciones fuera del país sin evaluaciones de riesgo y cumplimiento.,54.22,0.61-SIR-080
SIR-024,El sistema debe proteger los metadatos asociados a ePHI para evitar inferencias indebidas.,24.44,0.63-SIR-050
SIR-025,"El sistema debe diferenciar claramente el acceso a datos identificables, seudonimizados y anonimizados mediante control de roles.",11.92,0.73-SIR-001
SIR-026,"El sistema debe permitir establecer políticas de acceso diferencial en función del contexto de uso (atención, auditoría, investigación).",10.91,0.66-SIR-140
SIR-027,El sistema debe notificar al paciente cuando su ePHI sea accedida para usos no asistenciales o por terceros.,44.75,0.77-SIR-019
SIR-028,El sistema debe aplicar validación estricta de entradas tanto del lado cliente como del servidor para prevenir inyecciones y corrupción de datos.,40.69,0.69-SIR-087
SIR-029,"El sistema debe evitar el uso de credenciales hardcoded, usando mecanismos seguros para la gestión de secretos.",28.84,0.58-SIR-110
SIR-030,Todo código fuente debe ser revisado por al menos un segundo desarrollador antes de entrar a producción.,37.3,0.68-SIR-041
SIR-031,Las dependencias y componentes de terceros deben ser analizados contra vulnerabilidades conocidas (SBOM).,7.52,0.63-SIR-076
SIR-032,El sistema debe aplicar parches de seguridad de manera periódica y automatizada.,25.46,0.65-SIR-141
SIR-033,Se debe implementar control de versiones y gestión de cambios en todos los activos de software.,55.24,0.73-SIR-048
SIR-034,El sistema debe incluir un proceso formal de gestión y respuesta a incidentes de seguridad.,47.79,0.72-SIR-036
SIR-035,Se deben definir métricas y criterios de severidad para clasificar los incidentes de seguridad.,31.89,0.72-SIR-034
SIR-036,"El sistema debe notificar al oficial de privacidad y seguridad, así como a los usuarios afectados, cuando ocurra una violación de ePHI.",32.22,0.72-SIR-034
SIR-037,"Todos los incidentes deben documentarse en un registro centralizado con fecha, tipo, impacto, medidas y seguimiento.",29.86,0.66-SIR-054
SIR-038,"El personal debe recibir formación periódica en detección, reporte y actuación ante incidentes de seguridad.",22.41,0.64-SIR-019
SIR-039,Todo acceso a OpenEMR debe estar sujeto a autenticación mediante credenciales únicas e intransferibles por usuario.,4.47,0.66-SIR-131
SIR-040,El sistema debe forzar el cambio periódico de credenciales según política definida (mínimo cada 90 días).,46.78,0.67-SIR-045
SIR-041,"Toda cuenta de usuario debe estar sujeta a un proceso de alta, baja y modificación controlado (ciclo de vida IAM).",25.8,0.68-SIR-030
SIR-042,Se deben registrar intentos de acceso fallidos y generar alertas ante patrones sospechosos (ej. 5 intentos).,29.86,0.64-SIR-006
SIR-043,"El sistema debe soportar federación de identidad para facilitar el acceso seguro de usuarios externos (SSO, SAML, OIDC).",27.83,0.62-SIR-054
SIR-044,"El sistema debe deshabilitar o eliminar todos los servicios, puertos y protocolos no utilizados en los servidores.",20.38,0.57-SIR-081
SIR-045,Todos los sistemas deben aplicar políticas seguras de contraseñas a nivel de sistema operativo.,40.35,0.67-SIR-040
SIR-046,"El sistema debe mantener un benchmark de configuración segura basado en STIG, CIS o similar, revisado periódicamente.",28.84,0.63-SIR-010
SIR-047,"Las configuraciones de aplicaciones web deben evitar listados de directorios y acceso a archivos ocultos, y mostrar mensajes de error genéricos.",24.78,0.57-SIR-078
SIR-048,Toda configuración de sistema debe estar sujeta a control de cambios formal con aprobación y trazabilidad.,29.86,0.73-SIR-033
SIR-049,El acceso a OpenEMR desde dispositivos móviles debe estar restringido a través de mecanismos como MDM o listas de dispositivos autorizados.,16.32,0.67-SIR-052
SIR-050,El sistema debe exigir cifrado en disco completo en dispositivos móviles que accedan a ePHI.,47.79,0.69-SIR-036
SIR-051,Los dispositivos móviles deben tener políticas de bloqueo automático tras un período de inactividad definido.,39.33,0.64-SIR-045
SIR-052,Se debe permitir el borrado remoto de datos ePHI en dispositivos móviles extraviados o comprometidos.,22.41,0.68-SIR-050
SIR-053,El acceso a ePHI desde navegadores en dispositivos móviles debe requerir canales seguros (HTTPS) y expiración reforzada de sesión.,35.27,0.66-SIR-111
SIR-054,El sistema debe centralizar los registros de eventos de seguridad y actividad de usuarios en una solución SIEM que permita su análisis y correlación.,47.12,0.66-SIR-037
SIR-055,Los registros deben conservarse de forma segura y protegida contra alteraciones durante al menos 6 años.,38.32,0.74-SIR-007
SIR-056,El sistema debe permitir la generación automatizada de reportes de auditoría para revisiones periódicas.,6.5,0.64-SIR-089
SIR-057,Se deben definir y aplicar reglas de correlación en el SIEM para detectar patrones anómalos o indicios de ataque.,60.65,0.71-SIR-152
SIR-058,El sistema debe permitir la visualización en tiempo real de indicadores de seguridad clave (KPI) mediante tableros.,37.3,0.56-SIR-010
SIR-059,El sistema debe contar con arquitectura redundante y balanceo de carga para asegurar la continuidad del servicio ante fallos en componentes individuales.,15.31,0.59-SIR-014
SIR-060,Los componentes críticos del sistema deben incluir mecanismos automáticos de detección de fallos y recuperación sin intervención humana.,10.91,0.63-SIR-051
SIR-061,Debe existir un mecanismo de replicación síncrona o asíncrona para las bases de datos y almacenamiento que contenga ePHI.,35.27,0.66-SIR-141
SIR-062,El sistema debe establecer objetivos de RTO y RPO documentados para cada servicio crítico y validarlos mediante pruebas periódicas.,1.43,0.67-SIR-155
SIR-063,El sistema debe monitorear continuamente la disponibilidad de la infraestructura crítica y enviar alertas automáticas ante eventos anómalos.,2.44,0.78-SIR-012
SIR-064,"El sistema debe garantizar la trazabilidad completa de todas las modificaciones realizadas sobre registros clínicos, incluyendo quién, cuándo y qué se modificó.",15.31,0.78-SIR-068
SIR-065,El sistema debe aplicar controles automáticos de integridad que validen que los datos clínicos almacenados no han sido alterados de forma no autorizada.,22.75,0.74-SIR-119
SIR-066,"Debe establecerse un modelo de gobierno de datos que defina responsables, procesos de validación y control de calidad sobre la información clínica.",6.84,0.73-SIR-153
SIR-067,Los datos clínicos deben estar sujetos a reglas de validación semántica y estructural antes de su persistencia.,28.84,0.63-SIR-153
SIR-068,"El sistema debe conservar los registros clínicos íntegros, completos y accesibles durante el tiempo legalmente establecido según la jurisdicción aplicable.",0.42,0.78-SIR-064
SIR-069,El sistema debe contar con soluciones antimalware actualizadas en todos los servidores y estaciones de trabajo que acceden a OpenEMR.,34.26,0.63-SIR-102
SIR-070,Debe implementarse un sistema de detección de intrusos (IDS) para monitorear tráfico y alertar sobre patrones maliciosos o no autorizados.,0.42,0.83-SIR-152
SIR-071,Los servidores deben contar con capacidades EDR (Endpoint Detection and Response) que permitan análisis de comportamiento y contención automática de amenazas.,24.78,0.56-SIR-143
SIR-072,"El sistema debe bloquear automáticamente direcciones IP que generen patrones de ataque automatizado como escaneos, fuerza bruta o consultas malformadas.",8.88,0.63-SIR-070
SIR-073,Los archivos adjuntos y cargas de datos en OpenEMR deben ser escaneados por antivirus antes de almacenarse o procesarse.,35.27,0.63-SIR-102
SIR-074,"Se debe mantener un Software Bill of Materials (SBOM) actualizado con todas las bibliotecas, dependencias y componentes de terceros utilizados en OpenEMR.",15.31,0.56-SIR-075
SIR-075,"Todos los paquetes, bibliotecas y artefactos de terceros utilizados deben verificarse mediante firma digital antes de su incorporación al entorno productivo.",-0.61,0.56-SIR-074
SIR-076,Se debe contar con un proceso automatizado de detección de vulnerabilidades en dependencias de software de terceros utilizadas por OpenEMR.,8.88,0.63-SIR-031
SIR-079,El acceso físico a las salas de servidores o centros de datos donde se almacena o procesa ePHI debe estar restringido mediante controles de acceso físico robustos.,27.15,0.67-SIR-025
SIR-077,Todo software de terceros embebido debe tener una evaluación de seguridad previa antes de ser aprobado para su uso en el entorno clínico.,39.67,0.66-SIR-153
SIR-078,"El sistema debe registrar todos los componentes de software externos en un inventario centralizado con metadatos de versión, autor y licencia.",24.78,0.63-SIR-033
SIR-080,"Los equipos que contienen ePHI deben estar protegidos contra daños físicos por agua, fuego, humedad o sobrecalentamiento.",37.3,0.63-SIR-050
SIR-081,"Debe mantenerse una política de zonas seguras con delimitación de áreas restringidas para equipos, redes y almacenamiento de respaldos.",35.27,0.62-SIR-099
SIR-082,"Todo acceso físico debe registrarse, conservarse al menos por 1 año y estar disponible para auditoría en caso de incidentes.",34.26,0.80-SIR-107
SIR-083,El sistema debe contar con políticas de ubicación segura y disposición controlada de dispositivos obsoletos que contengan ePHI.,19.37,0.66-SIR-009
SIR-084,"Toda API expuesta por OpenEMR debe requerir autenticación robusta basada en tokens seguros (OAuth 2.0, OpenID Connect) antes de permitir cualquier acceso.",26.47,0.64-SIR-127
SIR-085,Los tokens de acceso a APIs deben ser de corta duración (máximo 1 hora) y renovables mediante mecanismos seguros de refresh tokens.,32.22,0.61-SIR-127
SIR-086,Todas las comunicaciones entre clientes y APIs deben estar protegidas mediante HTTPS (TLS 1.2 o superior) obligatoriamente.,12.09,0.77-SIR-126
SIR-087,"Cada endpoint de API debe validar estrictamente el formato, tipo y tamaño de todos los parámetros de entrada para prevenir inyecciones o corrupción de datos.",20.72,0.69-SIR-028
SIR-088,Debe implementarse un control de límite de tasa (Rate Limiting) por cliente API para evitar abusos y ataques de denegación de servicio (DoS).,48.13,0.83-SIR-130
SIR-089,Debe existir un mecanismo de escaneo y auditoría automática de vulnerabilidades en las APIs expuestas de OpenEMR.,11.92,0.66-SIR-107
SIR-090,Todos los datos clínicos (ePHI) almacenados en servicios en la nube deben cifrarse en reposo mediante claves gestionadas por el cliente (CMEK o BYOK).,55.58,0.69-SIR-153
SIR-091,Los buckets de almacenamiento (S3) no deben estar expuestos públicamente y deben tener políticas de acceso mínimo necesarias (least privilege).,25.8,0.50-SIR-081
SIR-092,El acceso a la consola de gestión cloud debe estar protegido mediante autenticación multifactor obligatoria (MFA) para todas las cuentas administrativas.,-9.07,0.51-SIR-095
SIR-093,"Los recursos en la nube deben utilizar roles IAM específicos para cada función, evitando credenciales estáticas en código o contenedores.",25.8,0.61-SIR-001
SIR-094,"Todo tráfico entre componentes desplegados en la nube debe ser cifrado en tránsito utilizando TLS 1.2 o superior, incluyendo tráfico interno entre zonas o regiones.",24.95,0.64-SIR-004
SIR-095,Debe activarse el logging centralizado de auditoría en servicios cloud (ej. AWS CloudTrail) y enviarse a un repositorio inmutable o sistema SIEM externo.,42.88,0.61-SIR-154
SIR-096,Las imágenes de contenedor utilizadas deben provenir de repositorios de confianza y ser escaneadas automáticamente contra vulnerabilidades conocidas antes de su despliegue.,6.84,0.61-SIR-076
SIR-097,Se deben minimizar los privilegios de contenedores evitando el uso de contenedores privilegiados ('privileged: true') y ejecutando como usuarios no root.,16.32,0.51-SIR-093
SIR-098,"Todo acceso a la API Server de Kubernetes debe estar autenticado y autorizado estrictamente, registrando todas las operaciones en logs de auditoría.",-10.08,0.60-SIR-089
SIR-099,Las políticas de red (Network Policies) deben ser aplicadas para restringir la comunicación entre pods solamente a lo necesario para el funcionamiento del sistema.,30.2,0.69-SIR-151
SIR-100,"Se debe habilitar y configurar correctamente mecanismos de aislamiento de namespaces, runtime security y controladores de admisión (Admission Controllers) en Kubernetes.",-9.07,0.58-SIR-098
SIR-101,"Se deben realizar copias de seguridad completas, automáticas y frecuentes de toda la ePHI, y estas deben almacenarse en medios inmutables (WORM) o con protección contra sobrescritura.",27.15,0.62-SIR-010
SIR-102,Los entornos de respaldo y almacenamiento de copias deben estar segmentados de la red principal de producción para evitar propagación lateral de malware.,22.75,0.63-SIR-073
SIR-103,"Debe implementarse una solución de protección contra ransomware en endpoints, servidores y cargas cloud con detección basada en comportamiento (EDR).",25.8,0.81-SIR-013
SIR-104,Debe configurarse una política de listas blancas de ejecución que limite los binarios y scripts permitidos en entornos clínicos sensibles.,17.34,0.73-SIR-153
SIR-105,"El sistema debe enviar alertas en tiempo real al detectar patrones compatibles con ataques de ransomware, como aumento anómalo de escrituras o cambios masivos en archivos.",28.17,0.71-SIR-013
SIR-106,"El sistema debe limitar el número de cuentas con privilegios administrativos y definir roles separados para gestión, auditoría y operación clínica.",24.78,0.71-SIR-107
SIR-107,"Todo uso de cuentas con privilegios elevados debe ser registrado con auditoría detallada, incluyendo hora, acciones realizadas y motivo del acceso.",-0.61,0.80-SIR-082
SIR-108,"El sistema debe permitir el uso de cuentas de emergencia ('break-glass') con acceso temporal y controlado, activadas solo bajo condiciones clínicas críticas.",15.31,0.52-SIR-018
SIR-109,"Debe realizarse una revisión periódica (al menos trimestral) de las cuentas con privilegios administrativos para validar su necesidad, uso y vigencia.",16.32,0.66-SIR-141
SIR-110,Las credenciales de cuentas privilegiadas deben almacenarse y rotarse de forma automática mediante soluciones de gestión segura (Password Vaults).,18.35,0.58-SIR-029
SIR-111,El sistema debe garantizar que todo correo que contenga ePHI se transmita exclusivamente mediante canales cifrados (TLS 1.2 o superior).,35.95,0.70-SIR-004
SIR-112,"Todo correo clínico debe estar protegido mediante mecanismos de autenticación de servidor como SPF, DKIM y políticas DMARC para prevenir spoofing.",16.32,0.57-SIR-133
SIR-113,El sistema debe permitir la detección y filtrado automático de correos con archivos adjuntos maliciosos o enlaces sospechosos.,27.83,0.57-SIR-150
SIR-114,Se debe proporcionar una alternativa segura para el intercambio de ePHI por correo mediante portales web con autenticación o cifrado punto a punto.,14.29,0.62-SIR-151
SIR-115,Los logs de envío y recepción de correos clínicos relevantes deben ser auditables y conservarse durante al menos 6 meses.,42.72,0.83-SIR-118
SIR-116,Las bases de datos que almacenen ePHI deben estar cifradas en reposo utilizando mecanismos de cifrado robustos (AES-256 o superior).,34.26,0.70-SIR-005
SIR-117,"El acceso a la base de datos debe estar restringido exclusivamente mediante usuarios autenticados y roles definidos, sin conexiones anónimas.",17.34,0.63-SIR-025
SIR-118,Todos los accesos y modificaciones a las bases de datos clínicas deben ser auditados con logs firmados o protegidos contra manipulación.,16.32,0.83-SIR-115
SIR-119,Debe implementarse validación de integridad periódica sobre la base de datos clínica para detectar alteraciones o corrupción de registros.,18.35,0.74-SIR-065
SIR-120,Las instancias de base de datos deben estar protegidas mediante firewalls o grupos de seguridad que bloqueen todo tráfico externo no autorizado.,15.31,0.56-SIR-151
SIR-121,"[Opcional] Los modelos de IA clínica utilizados en decisiones deben ser trazables, incluyendo versión del modelo, parámetros y fecha de entrenamiento.",24.78,0.66-SIR-124
SIR-122,[Opcional] Las decisiones automáticas asistidas por IA deben poder ser explicadas clínicamente en lenguaje comprensible para el profesional.,10.91,0.62-SIR-123
SIR-123,"[Opcional] Las predicciones realizadas por motores de IA deben quedar registradas con marca de tiempo, usuario responsable y contexto clínico.",34.26,0.71-SIR-064
SIR-124,[Opcional] Los datos clínicos utilizados para entrenar o mejorar modelos de IA deben anonimizarse o seudonimizarse previamente.,20.38,0.71-SIR-131
SIR-125,[Opcional] Los modelos de IA deben someterse a validaciones periódicas para confirmar su precisión clínica y evitar deriva algorítmica.,9.89,0.68-SIR-119
SIR-126,Toda comunicación basada en HL7 FHIR debe realizarse exclusivamente a través de HTTPS (TLS 1.2 o superior) con certificados válidos.,35.95,0.77-SIR-086
SIR-127,El acceso a recursos FHIR debe requerir tokens con scopes definidos (OAuth 2.0) que limiten el acceso a los recursos estrictamente necesarios.,51.85,0.64-SIR-084
SIR-128,"Cada transacción FHIR debe registrarse en logs auditables incluyendo ID de recurso accedido, tiempo, usuario y aplicación origen.",27.83,0.87-SIR-154
SIR-129,Los parámetros de entrada a las APIs FHIR deben validarse estrictamente contra el perfil FHIR esperado y tamaños límite.,43.73,0.66-SIR-087
SIR-130,El sistema debe implementar limitación de tasas de acceso (rate limiting) por aplicación y usuario para endpoints FHIR.,44.75,0.83-SIR-088
SIR-131,Toda estación clínica o terminal físico que acceda a OpenEMR debe requerir autenticación individual del usuario mediante credenciales seguras.,1.43,0.75-SIR-153
SIR-132,Las estaciones clínicas deben bloquearse automáticamente tras un periodo definido de inactividad para prevenir el acceso no autorizado.,10.91,0.69-SIR-135
SIR-133,"Las estaciones clínicas deben contar con mecanismos de protección antimanipulación física como anclajes, cierre de puertos no autorizados y ubicación segura.",7.86,0.66-SIR-135
SIR-134,"Debe instalarse software de gestión de endpoints (MDM/EDR) en todas las estaciones clínicas para control remoto, actualizaciones, borrado o rastreo.",17.34,0.61-SIR-077
SIR-135,Los dispositivos clínicos portátiles deben contar con cifrado completo de disco activado para prevenir pérdida o acceso a ePHI en caso de extravío.,22.75,0.69-SIR-131
SIR-136,Toda firma electrónica clínica debe estar asociada a una identidad verificada del firmante mediante un mecanismo de autenticación fuerte.,-7.04,0.80-SIR-139
SIR-137,Los documentos clínicos firmados deben contar con un mecanismo de validación criptográfica que garantice su integridad y detecte cualquier modificación posterior.,7.86,0.71-SIR-131
SIR-138,"Las firmas electrónicas deben registrar la fecha, hora, usuario firmante y contexto clínico en el que se generaron.",53.21,0.72-SIR-139
SIR-139,Las firmas electrónicas clínicas deben estar protegidas contra reutilización o replicación en otros registros.,31.89,0.80-SIR-136
SIR-140,"Debe permitirse la validación de firmas electrónicas incluso fuera del sistema OpenEMR, mediante verificación externa (p. ej., certificados públicos).",1.43,0.69-SIR-028
SIR-141,"Se debe realizar una evaluación periódica de riesgos de seguridad sobre todos los activos que procesan o almacenan ePHI, al menos una vez al año o ante cambios significativos.",25.12,0.66-SIR-061
SIR-142,"Debe llevarse a cabo un Privacy Impact Assessment (PIA) ante cualquier nuevo tratamiento, módulo o integración que implique acceso a datos clínicos identificables.",14.29,0.62-SIR-066
SIR-143,El sistema debe contar con una metodología definida para priorizar los riesgos detectados en función del impacto en la ePHI y la probabilidad de ocurrencia.,37.64,0.69-SIR-009
SIR-144,La evaluación de riesgos debe actualizarse automáticamente o manualmente tras cualquier incidente de seguridad o hallazgo relevante.,11.92,0.70-SIR-034
SIR-145,Debe mantenerse evidencia documental de todas las evaluaciones de riesgos y decisiones asociadas durante al menos 5 años para fines de cumplimiento.,15.31,0.61-SIR-122
SIR-146,Las áreas físicas donde se alojan servidores que contienen ePHI deben contar con control de acceso físico mediante autenticación multifactor o credenciales biométricas.,14.29,0.64-SIR-079
SIR-147,"Las áreas sensibles deben contar con videovigilancia activa (CCTV) y grabación continua, conservada por al menos 30 días.",27.83,0.51-SIR-040
SIR-148,"Las instalaciones donde se operan sistemas clínicos deben tener sensores de intrusión, incendios, humedad y temperatura conectados a una central de alertas.",23.77,0.62-SIR-070
SIR-149,"Debe aplicarse un registro obligatorio de visitantes a zonas restringidas físicas, incluyendo identificación, fecha, hora y motivo del acceso.",9.89,0.64-SIR-107
SIR-150,"Se debe proteger contra accesos externos no vigilados mediante barreras físicas perimetrales, puertas controladas electrónicamente y vigilancia continua.",-22.94,0.60-SIR-079
SIR-151,Todo sistema heredado o sin soporte activo que procese o acceda a ePHI debe estar segmentado en una red aislada sin conectividad directa con internet o entornos sensibles.,17.68,0.69-SIR-099
SIR-152,"Se debe mantener monitoreo específico sobre los sistemas legados, incluyendo alertas ante patrones anómalos de tráfico, acceso o integridad de datos.",7.86,0.83-SIR-070
SIR-153,No se deben introducir nuevos datos clínicos sensibles en sistemas heredados sin soporte salvo que existan controles compensatorios documentados y activos.,16.32,0.75-SIR-131
SIR-154,"Todo acceso a sistemas legados debe registrarse con logs auditables, firmados o almacenados en sistemas externos de forma inmutable.",9.89,0.87-SIR-128
SIR-155,La continuidad del uso de sistemas legados debe estar justificada documentalmente con un análisis de riesgo y plan de migración progresivo.,24.78,0.74-SIR-009
