"ID","Requisito generado","Artículo/Fuente","¿Extraído correctamente?","Justificación/Comentarios","Nivel de fidelidad","Tipo de error (si aplica)","Legibility_Score","Max_Similarity","Porcentaje de Calidad"
"SEC-CAT-BAC-001","The application will implement and apply dual access control prior to deleting users, medical records.","NIST SP 800-53 Rev.5 AC-3, HIPAA 45 CFR §164.312(a)(1), ISO/IEC 27002:2022 5.15","Sí","Requisito coherente con el principio de control de acceso obligatorio antes de acciones críticas. Cumple fidelidad normativa.","Alta","","13.95","0.57-SEC-CAT-LMF-010","58.49"
"SEC-CAT-BAC-002","The application must incorporate robust access control mechanisms to prevent circumvention of access control checks by manipulating the URL. The following access control bypass tactics should be avoided and counteracted: 1. Modification of the URL (parameter manipulation or forced navigation). 2. Modification of the internal state of the application. 3. Modification of the HTML page. 4. Use of attack tools to modify API requests","OWASP A01:2021, CWE-639, NIST SP 800-53 AC-4, AC-6(1)","Sí","Evita control de acceso roto por manipulación. Alineado con OWASP A01 y control de flujo NIST.","Alta","","18.31","0.64-SEC-CAT-IND-012","60.83"
"SEC-CAT-BAC-003","The application must implement security measures to prevent the elevation of privileges. Prevent situations where a user can act without being authenticated or an administrator can act as a regular user after logging in.","OWASP A01:2021, NIST SP 800-53 AC-2(4), ISO/IEC 27002:2022 5.18","Sí","El requerimiento cubre controles para evitar escaladas de privilegios. Fidelidad clara.","Alta","","20.38","0.71-SEC-CAT-IAF-036","63.60"
"SEC-CAT-BAC-004","The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API and ensuring record ownership.","NIST SP 800-53 AC-3, AC-6, ISO/IEC 27002:2022 5.17","Sí","El requisito refleja el principio de acceso mínimo y control API, normativamente sólido.","Alta","","6.84","0.67-SEC-CAT-BAC-003","54.71"
"SEC-CAT-BAC-005","The application must prevent unauthorized access to data processing devices and assign roles to users to protect the integrity of ePHI against unauthorized alterations.","HIPAA §164.312(a)(1), NIST SP 800-53 AC-2, AC-19","Sí","Alineado con HIPAA y NIST para control físico y lógico de acceso a ePHI.","Alta","","4.82","0.72-SEC-CAT-SDF-007","54.71"
"SEC-CAT-BAC-006","The system must allow users to be assigned to workgroups and grant access to records based on these groups. This access may be through a workstation, transaction, program, process, or other mechanism.","ISO/IEC 27002:2022 5.18, NIST SP 800-53 AC-2(7), SIREN: Control de acceso basado en roles","Sí","Cubre control de acceso por grupos/roles, compatible con SIREN y NIST.","Alta","","55.24","0.60-SEC-CAT-BAC-007","79.81"
"SEC-CAT-BAC-007","The system must implement measures to control who uses the data processing system by ensuring that users are authenticated with an individual authenticator before using a group authenticator.","NIST SP 800-53 IA-2, IA-8, ISO/IEC 27002:2022 5.15","Sí","Describe doble autenticación progresiva, alineada con controles de identificación.","Alta","","0.76","0.65-SEC-CAT-IND-002","49.19"
"SEC-CAT-BAC-008","The system is required to establish a formal process for user registration and deregistration, facilitating access to health information systems. This process must guarantee a consistent alignment between the authentication level, the mapping of users to roles, roles to system functions, and the level of access to be granted to the user.","ISO/IEC 27002:2022 5.17, NIST SP 800-53 AC-2, SIREN","Sí","Fuerte correspondencia con estándares para el ciclo de vida de cuentas.","Alta","","28.17","0.66-SEC-CAT-IAF-005","66.04"
"SEC-CAT-CRF-001","The system must implement a robust FIPS-validated cryptographic infrastructure to encrypt and decrypt electronically protected health information to ensure adequate protection of sensitive information.","HIPAA §164.312(e)(1), FIPS 140-2, NIST SP 800-53 SC-12","Sí","Alineado con estándares FIPS para cifrado obligatorio en ePHI.","Alta","","-29.03","0.61-SEC-CAT-CRF-005","43.76"
"SEC-CAT-CRF-002","The application must ensure the security of integrity and confidentiality during the transmission of ePHI over electronic networks following the technical safeguards standards established in the regulatory framework.","HIPAA §164.312(e)(1), NIST SP 800-53 SC-12, SC-13","Sí","Correctamente refleja controles de transmisión segura para ePHI.","Alta","","-16.17","0.72-SEC-CAT-LMF-001","44.70"
"SEC-CAT-CRF-003","The application must ensure secure storage of the session identifier, ensuring that at no time is the generated session ID included in requests via the URL.","OWASP A07:2021, NIST SP 800-53 SC-23, ISO/IEC 27002:2022 8.26","Sí","Prevención de exposición de identificadores de sesión mediante URL. Práctica de seguridad esencial.","Alta","","19.71","0.68-SEC-CAT-IAF-035","63.93"
"SEC-CAT-CRF-004","The application must ensure message encryption when the SessionIndex is linked to privacy data.","NIST SP 800-53 SC-12, SC-13, ISO/IEC 27002:2022 10.1","Sí","Protección del índice de sesión vinculado a datos personales mediante cifrado. Correcta alineación.","Alta","","31.89","0.67-SEC-CAT-CRF-003","69.47"
"SEC-CAT-CRF-005","The application must exclusively store cryptographic representations of passwords, following best practices and using FIPS-validated cryptographic modules.","HIPAA §164.312(d), NIST SP 800-53 IA-5(1), FIPS 140-2","Sí","Requisito bien redactado que exige uso de hash seguro y cumplimiento con FIPS.","Alta","","-21.93","0.61-SEC-CAT-CRF-001","43.76"
"SEC-CAT-INJ-001","The application must implement data entry validation measures before storing them to guarantee the integrity and security of the information processed, stored, or accessible through end-user point devices.","OWASP A03:2021, CWE-20, ISO/IEC 27002:2022 8.28","Sí","Buena práctica contra inyecciones. Obligatoriedad normativa y técnica clara.","Alta","","0.76","0.65-SEC-CAT-SEM-003","49.19"
"SEC-CAT-INJ-002","The application must be secure against SQL injection attacks. It is necessary to avoid possible security problems related to SQL injection and adjust the application to eliminate any risk associated with this attack.","OWASP A03:2021, CWE-89, NIST SP 800-53 SI-10","Sí","Requisito esencial en la prevención de inyecciones SQL. Correctamente alineado.","Alta","","3.97","0.53-SEC-CAT-INJ-004","51.99"
"SEC-CAT-INJ-003","The application must implement effective restrictions on the types of files that users can upload to prevent the upload of dangerous files that may be automatically processed in the application environment.","OWASP A08:2021, CWE-434, ISO/IEC 27002:2022 8.30","Sí","Control adecuado de cargas de archivos. Alineación clara con riesgos identificados.","Alta","","23.09","0.66-SEC-CAT-IND-012","65.77"
"SEC-CAT-INJ-004","The application must implement protection measures against command injections. Depending on the application's architecture, the application must be modified to escape/sanitize special character input or configure the system to protect against command injection attacks.","OWASP A03:2021, CWE-77, NIST SP 800-53 SI-10","Sí","Describe control contra comandos maliciosos. Claramente normativo.","Alta","","3.46","0.60-SEC-CAT-IND-018","51.87"
"SEC-CAT-INJ-005","The application must implement protection measures against Cross-Site Scripting (XSS) vulnerabilities to prevent malicious code injection attacks.","OWASP A03:2021, CWE-79, ISO/IEC 27002:2022 8.28","Sí","XSS es una de las principales amenazas web. El requisito es válido y bien alineado.","Alta","","-5.01","0.54-SEC-CAT-SEM-004","47.50"
"SEC-CAT-INJ-006","The application must implement an information output validation mechanism for the following software programs and/or applications: [reporting, data tables listing].","ISO/IEC 27002:2022 8.28, SIREN: validación de salida","Sí","Validación de salida esencial para prevenir fugas o XSS. Apoya trazabilidad normativa.","Alta","","-16.51","0.60-SEC-CAT-INJ-001","43.62"
"SEC-CAT-IND-001","The system must ensure that data is only processed following the directives provided in the data flow control.","ISO/IEC 27002:2022 5.1, ISO 27799:2016, HIPAA §164.308(a)(3)","Sí","Describe control de tratamiento de datos conforme a flujos definidos. Correcto normativamente.","Alta","","44.75","0.53-SEC-CAT-BAC-007","74.69"
"SEC-CAT-IND-002","The system must implement measures to prevent unauthorized and involuntary transfer of information through shared system resources.","NIST SP 800-53 SC-4, ISO/IEC 27002:2022 8.11","Sí","Corresponde a la protección contra canales encubiertos y fuga de información por recursos compartidos.","Alta","","11.92","0.65-SEC-CAT-BAC-007","56.98"
"SEC-CAT-IND-003","The application must show a system of use of the system and privacy notification before granting access. This notice must contain information about the property of the system, the monitoring, recording, and auditing of use, the penalties for unauthorized use, and the acceptance of these conditions by the user.","NIST SP 800-53 PL-4, AC-8, ISO/IEC 27002:2022 5.29","Sí","Cumple con la obligación de informar al usuario de condiciones de uso y monitoreo.","Alta","","29.69","0.67-SEC-CAT-LMF-008","68.42"
"SEC-CAT-IND-004","The system must generate error messages that provide the user with the information necessary for corrective actions without revealing details that can be exploited.","OWASP A01:2021, CWE-209, NIST SP 800-53 SI-11","Sí","Control esencial para evitar la fuga de información técnica crítica mediante mensajes de error.","Alta","","13.28","0.61-SEC-CAT-IND-014","57.82"
"SEC-CAT-IND-005","The application must physically or logically separate the functionality of the user, including user interface services and system management functionality.","NIST SP 800-53 SC-2, AC-6, ISO/IEC 27002:2022 8.1","Sí","Segmentación de funciones es una medida fundamental de seguridad.","Alta","","-24.97","0.59-SEC-CAT-IND-010","43.74"
"SEC-CAT-IND-006","The application should be designed not to use emerging or non-categorized mobile code.","NIST SP 800-53 SC-18, ISO/IEC 27002:2022 8.24","Sí","Móvil code emergente sin control puede generar riesgos importantes. Alineado con buenas prácticas.","Alta","","41.36","0.58-SEC-CAT-IND-015","73.84"
"SEC-CAT-IND-007","The application should not contain authentication data incorporated into its code, configuration files, scripts, HTML files, or any ASCII file.","OWASP A07:2021, CWE-798, ISO/IEC 27002:2022 8.5","Sí","Autenticación embebida compromete la seguridad. Buen enfoque preventivo.","Alta","","0.42","0.62-SEC-CAT-IND-010","49.10"
"SEC-CAT-IND-008","The application should not write sensitive data in the application records. The application must be designed or reconfigured to avoid including sensitive data in the records.","NIST SP 800-53 AU-9, ISO/IEC 27002:2022 8.31","Sí","Evita la exposición accidental de datos sensibles. Correctamente alineado con registros de auditoría.","Alta","","32.9","0.58-SEC-CAT-IND-007","70.73"
"SEC-CAT-IND-009","The application should not unnecessarily store or retain sensitive information in hidden fields. It is imperative to eliminate this information as soon as possible, or instead, use practices such as token or truncation, following the guidelines of PCI DSS to guarantee safe storage.","PCI DSS Req. 3, OWASP A01:2021, ISO/IEC 27002:2022 8.7","Sí","Ocultar datos sensibles en campos HTML es una práctica insegura. Requisito correcto.","Alta","","24.27","0.55-SEC-CAT-IND-008","65.57"
"SEC-CAT-IND-010","The application must ensure that the configuration and control files are not stored in the same directory as the user data. The application user data must be located in a directory different from the application code, and user file permits must be established to restrict user access to application configuration.","OWASP A05:2021, NIST SP 800-53 CM-5(3), ISO/IEC 27002:2022 8.9","Sí","Separación de configuración y datos evita ataques por mal aislamiento. Bien definido.","Alta","","20.72","0.63-SEC-CAT-IND-018","63.68"
"SEC-CAT-IND-011","The application should not be housed on a general-purpose server if the application is designated as critical or high availability by the Information Security Officer (ISSO). Critical applications not shared by other less critical applications must be implemented on servers.","NIST SP 800-53 SC-39, ISO/IEC 27002:2022 5.34","Sí","Asegura alta disponibilidad y reduce superficies de ataque. Correctamente justificado.","Alta","","8.88","0.57-SEC-CAT-LMF-032","55.72"
"SEC-CAT-IND-012","The application must implement an adequate limitation of access routes to prevent malicious route manipulation that can lead to unauthorized revelation of files or directories.","OWASP A01:2021, CWE-22, ISO/IEC 27002:2022 8.9","Sí","Alineado con mitigación de Path Traversal. Buen requisito preventivo.","Alta","","3.8","0.66-SEC-CAT-INJ-003","53.45"
"SEC-CAT-IND-013","The application must be protected against vulnerabilities of canonical representation. An adequate canonical form must be selected, and the entire user entry must be canonized before authorization decisions are made.","CWE-180, CWE-179, NIST SP 800-53 SI-10","Sí","Canonización de entradas evita saltos de validación por encoding maliciosos.","Alta","","-2.98","0.59-SEC-CAT-BAC-003","48.50"
"SEC-CAT-IND-014","The application must incorporate a 'safe failure' approach through safe error management to prevent vulnerabilities derived from incorrect management of return codes and exceptions in all system components.","NIST SP 800-53 SI-11, ISO/IEC 27002:2022 8.32","Sí","La gestión de fallos segura es una práctica clave de defensa en profundidad.","Alta","","9.22","0.61-SEC-CAT-IND-004","56.30"
"SEC-CAT-IND-015","The application should not be vulnerable to race conditions.","CWE-362, NIST SP 800-53 SI-10","Sí","Condiciones de carrera pueden derivar en accesos no autorizados o corrupción de datos.","Alta","","36.96","0.62-SEC-CAT-IND-019","73.49"
"SEC-CAT-IND-016","The application must implement measures to prevent memory use after being released since referring to memory after release can cause program failures, the use of unexpected values, or execute unwanted code.","CWE-416, ISO/IEC 27002:2022 8.8","Sí","Uso después de liberar memoria es una causa común de errores de seguridad graves.","Alta","","14.63","0.64-SEC-CAT-IND-018","58.66"
"SEC-CAT-IND-017","The application should prevent null pointer reference, avoiding trying to access a null pointer, which could result in unexpected failure or exit.","CWE-476, ISO/IEC 27002:2022 8.8","Sí","Buena práctica para asegurar la robustez del sistema ante accesos inválidos.","Alta","","32.22","0.51-SEC-CAT-IND-019","71.06"
"SEC-CAT-IND-018","The application must implement controls defined by the organization to protect the system's memory against unauthorized code execution.","NIST SP 800-53 SI-16, ISO/IEC 27002:2022 8.8","Sí","Cumple requisitos de integridad del espacio de memoria y control de ejecución.","Alta","","2.44","0.64-SEC-CAT-IND-016","52.61"
"SEC-CAT-IND-019","The application should not be vulnerable to buffer overflow attacks.","CWE-119, NIST SP 800-53 SI-10, ISO/IEC 27002:2022 8.8","Sí","Las sobrecargas de búfer son vectores clásicos de explotación. Requisito sólido.","Alta","","27.49","0.62-SEC-CAT-IND-015","68.62"
"SEC-CAT-IND-020","The application should be designed to use components that are not vulnerable to XML attacks.","OWASP XML External Entity (XXE), CWE-611, ISO/IEC 27002:2022 8.30","Sí","Mitigación contra ataques XXE está bien cubierta. Buen criterio de diseño seguro.","Alta","","39.33","0.56-SEC-CAT-SDF-002","74.33"
"SEC-CAT-IND-021","The application must implement repetition-resistant authentication mechanisms for network access for privileged and non-privileged accounts.","NIST SP 800-53 IA-2(8), ISO/IEC 27002:2022 8.2","Sí","Prevención contra ataques de repetición. Enlace claro con mecanismos robustos de autenticación.","Alta","","-36.82","0.74-SEC-CAT-IAF-008","42.20"
"SEC-CAT-IND-022","Applications with SOAP messages requiring integrity must include the following message elements: -Message ID -Service Request -Timestamp -SAML Assertion (optionally included in messages), and all elements of the message must be digitally signed.","WS-Security, NIST SP 800-95, ISO/IEC 27002:2022 10.4","Sí","Elementos críticos para asegurar integridad y autenticidad en mensajes SOAP. Alineado con WS-Security.","Alta","","-4.33","0.61-SEC-CAT-IND-025","47.67"
"SEC-CAT-IND-023","The application must authenticate all the endpoint devices connected to the network before establishing any connection.","NIST SP 800-53 AC-17(1), ISO/IEC 27002:2022 5.15","Sí","Prevención contra conexiones no autorizadas. Buen enfoque de seguridad de red.","Alta","","4.47","0.55-SEC-CAT-IAF-014","52.62"
"SEC-CAT-IND-024","Safe messages with WS-Security must have time stamps indicating when they were created and expired. The application must be designed to use these time stamps and sequence numbers in WS-Security messages.","WS-Security, NIST SP 800-95, ISO/IEC 27002:2022 10.4","Sí","Uso de time-based tokens y control de secuencia es recomendado en entornos seguros SOAP.","Alta","","47.28","0.70-SEC-CAT-IND-025","78.32"
"SEC-CAT-IND-025","The application must verify the validity periods in all messages that WS-SECURITY or SAML statements use. Design and configure the application to use and verify validity periods in all token WS-Security profiles and SAML statements.","SAML 2.0 Core, WS-Security, ISO/IEC 27002:2022 10.4","Sí","Control de expiración de tokens es obligatorio para proteger contra reusos indebidos.","Alta","","19.87","0.70-SEC-CAT-IND-024","63.97"
"SEC-CAT-SEM-001","The application must define, document, and implement configurations, including security, hardware, software, services, and networks, adjusting them in the most restrictive way consistent with operational requirements.","NIST SP 800-53 CM-2, ISO/IEC 27002:2022 5.14","Sí","Configuración segura mínima necesaria reduce vectores de ataque.","Alta","","-14.14","0.59-SEC-CAT-IND-005","45.24"
"SEC-CAT-SEM-002","The application must define and implement due security settings to avoid DDoS attacks.","NIST SP 800-53 SC-5, ISO/IEC 27002:2022 8.16","Sí","Medidas antiflujo masivo protegen disponibilidad, alineado con controles SC-5.","Alta","","32.9","0.58-SEC-CAT-SEM-001","71.73"
"SEC-CAT-SEM-003","The application must implement measures to validate the deserialization of non-reliable data and ensure the resulting data are valid before processing them.","OWASP A08:2021, CWE-502, ISO/IEC 27002:2022 8.28","Sí","Control vital ante ataques de deserialización insegura. Requisito válido y justificado.","Alta","","6.84","0.67-SEC-CAT-SDF-005","54.71"
"SEC-CAT-SEM-004","The application must be protected against Vulnerabilities of CROSS-SITE REQUEST FORGERY (CSRF) through the configuration to use unpredictable challenge tokens and verify the HTTP referrer, ensuring that the application was issued from the site itself. In addition, mitigating controls must be implemented as necessary, such as using web reputation services.","OWASP A05:2021, CWE-352, ISO/IEC 27002:2022 8.28","Sí","Contramedidas múltiples contra CSRF reflejan enfoque integral y normativo.","Alta","","3.8","0.62-SEC-CAT-BAC-002","53.45"
"SEC-CAT-SEM-005","The application must be configured to deactivate non-essential capabilities.","NIST SP 800-53 CM-7, ISO/IEC 27002:2022 8.9","Sí","Deshabilitar funciones innecesarias reduce superficie de ataque.","Alta","","-30.73","0.53-SEC-CAT-IAF-036","33.33"
"SEC-CAT-SEM-006","The application should avoid showing users what is not required to users. It is necessary to configure it so that it does not reveal technical details about architecture in error events.","OWASP A01:2021, CWE-209, ISO/IEC 27002:2022 8.32","Sí","Control de exposición en errores evita fuga de información interna.","Alta","","38.82","0.59-SEC-CAT-IND-004","74.20"
"SEC-CAT-SEM-007","The application must identify and authenticate uniquely non-organizational users (or processes that act in the name of non-organizational users).","NIST SP 800-53 IA-8, ISO/IEC 27002:2022 5.16","Sí","Identificación y autenticación individualizada es clave para usuarios externos.","Alta","","-7.04","0.92-SEC-CAT-SEM-008","47.26"
"SEC-CAT-SEM-008","The application must identify and authenticate uniquely organizational users (or processes that act in the name of organizational users).","NIST SP 800-53 IA-2, ISO/IEC 27002:2022 5.16","Sí","Establecimiento de identidades únicas organizacionales es obligatorio en sistemas seguros.","Alta","","-7.04","0.92-SEC-CAT-SEM-007","47.26"
"SEC-CAT-SEM-009","The applications that issue SAML statements must use random numbers approved by FIPS to generate SAML session in Saml's AuthnStatement element.","FIPS 140-2, NIST SP 800-133, SAML 2.0 Core","Sí","Uso de RNG seguros es requerido para asegurar unicidad y resistencia criptográfica.","Alta","","33.24","0.68-SEC-CAT-SEM-010","71.81"
"SEC-CAT-SEM-010","The application must ensure that each party that makes statements (Asserting Party) provides unique identifiers for each SAML statement (Security Assertion Markup Language). It is required to design and configure each SAML statement authority to use unique affirmation identifiers.","SAML 2.0 Core, NIST SP 800-95","Sí","Evita colisiones o repetición de afirmaciones. Práctica estandarizada.","Alta","","17.84","0.68-SEC-CAT-SEM-009","63.71"
"SEC-CAT-SEM-011","The application must guarantee the use of encrypted statements or equivalent confidentiality protections when the statement data is transmitted through an intermediary, and the confidentiality of the statements of statements is necessary during the transmission through the intermediary.","SAML 2.0 Bindings, WS-Security, ISO/IEC 27002:2022 10.1","Sí","Protección de contenido de SAML durante tránsito. Requisito alineado con buenas prácticas.","Alta","","-17.86","0.57-SEC-CAT-CRF-004","42.14"
"SEC-CAT-SEM-012","The application should use both the <NotBefore> y <NotOnOrAfter> elements and the <OneTimeUse> element when using the <Conditions> element in a SAML Assertion.","SAML 2.0 Core §2.5.1","Sí","Uso combinado limita reutilización indebida de afirmaciones.","Alta","","31.21","0.79-SEC-CAT-SEM-013","77.80"
"SEC-CAT-SEM-013","The application should use the NotOnOrAfter condition when using the SubjectConfirmation element in a SAML assertion.","SAML 2.0 Core §2.4.1.4","Sí","Ayuda a restringir validez del canal de comunicación entre partes.","Alta","","21.4","0.79-SEC-CAT-SEM-012","78.85"
"SEC-CAT-SEM-014","The application must configure session cookies with the following properties: o Establish the HTTPOnly flag in session cookies. o Ensure that the safe flag (Secure) is activated in session cookies.","OWASP A07:2021, ISO/IEC 27002:2022 8.31","Sí","Previene ataques de robo de cookies y MITM.","Alta","","39.33","0.65-SEC-CAT-CRF-003","78.33"
"SEC-CAT-VOC-001","Keep updated on the components or libraries of the application.","OWASP A06:2021, ISO/IEC 27002:2022 8.34","Sí","Gestión de versiones asegura integridad y seguridad del software.","Alta","","35.95","0.48-SEC-CAT-VOC-003","71.99"
"SEC-CAT-VOC-002","The libraries or software components that do not have the support or maintenance must be removed or replaced.","OWASP A06:2021, ISO/IEC 27002:2022 8.34","Sí","Bibliotecas sin soporte presentan vulnerabilidades. Buena práctica de mantenimiento seguro.","Alta","","53.21","0.52-SEC-CAT-SEM-005","81.30"
"SEC-CAT-VOC-003","The application must provide notifications or alerts when product updates and safety-related patches are available.","ISO/IEC 27002:2022 8.33, NIST SP 800-40","Sí","Actualizaciones críticas requieren alertas para mitigar vulnerabilidades.","Alta","","5.49","0.68-SEC-CAT-LMF-022","54.62"
"SEC-CAT-IAF-001","The application must identify user actions that can be carried out in the system without requiring identification or authentication.","NIST SP 800-53 AC-14, ISO/IEC 27002:2022 5.16","Sí","Identifica riesgos asociados a funcionalidades públicas o pre-autenticadas.","Alta","","1.43","0.69-SEC-CAT-SEM-007","52.86"
"SEC-CAT-IAF-002","All organizations that connect to the Health Electronic Registry Information System (EHRI) must submit to possible users of Systems Point of Sale (POS) that link to EHRI to a formal process of registration of Users.","ISO/IEC 27002:2022 5.18, HIPAA §164.308(a)(3)(ii)(A)","Sí","Proceso de registro estructurado asegura trazabilidad y acceso autorizado.","Alta","","27.49","0.66-SEC-CAT-BAC-008","66.62"
"SEC-CAT-IAF-003","The application, when using PKI-based authentication, must validate certificates by building a certification chain (including state information) to an accepted trust anchor, so the application must be designed to create a certification chain to a Trust Anchor accepted when using PKI-based authentication.","NIST SP 800-57, FIPS 140-2, ISO/IEC 27002:2022 10.1","Sí","Verificación de confianza mediante cadena de certificación es esencial en PKI.","Alta","","-5.0","0.72-SEC-CAT-IAF-004","47.50"
"SEC-CAT-IAF-004","The application, when using authentication based on public key infrastructure (PKI), must enforce authorized access to the corresponding private key, so the application or relevant access control mechanism must be configured to guarantee authorized access to the private key(s) of the application.","NIST SP 800-57, ISO/IEC 27002:2022 10.10","Sí","Protección de claves privadas crítica en autenticación de clave pública.","Alta","","-5.0","0.72-SEC-CAT-IAF-003","47.50"
"SEC-CAT-IAF-005","The application must implement procedures to verify that the person or entity that seeks access to protected electronic health information is what it claims to be.","HIPAA §164.312(d), ISO/IEC 27002:2022 5.17","Sí","Obligación de validación de identidad en protección de datos de salud.","Alta","","28.17","1.00-SEC-CAT-IAF-007","68.04"
"SEC-CAT-IAF-006","The application must impose a limit of 3 invalid login attempts by a user during 15 minutes and automatically block the account for 1 hour; block the account or node until an administrator releases it; delay the next login notice for 1 hour; notify the system administrator; take permanent account blocking when the maximum number of failed attempts is exceeded.","NIST SP 800-53 AC-7, ISO/IEC 27002:2022 5.17","Sí","Control de intentos fallidos reduce vectores de fuerza bruta.","Alta","","-6.35","0.68-SEC-CAT-IAF-012","46.16"
"SEC-CAT-IAF-007","The application must implement procedures to verify that the person or entity that seeks access to protected electronic health information is what it claims to be.","HIPAA §164.312(d), ISO/IEC 27002:2022 5.17","Sí","Requisito duplicado de IAF-005. Se sugiere consolidar.","Alta","Redundante","28.17","1.00-SEC-CAT-IAF-005","58.04"
"SEC-CAT-IAF-008","The application must implement robust multifactor authentication, using at least two authentication factors (for example, CAC, Alt. Token) to access non-privileged networks and accounts.","NIST SP 800-53 IA-2(1), ISO/IEC 27002:2022 5.17","Sí","Requisito robusto de autenticación, especialmente para cuentas no privilegiadas.","Alta","","8.53","0.74-SEC-CAT-IND-021","58.13"
